case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,18,W_Afhandelen leads,2012-03-14 15:04:54.681000+00:00,2012-03-14 15:06:02.636392764+00:00,0,11019.0
0,29,W_Completeren aanvraag,2012-03-14 15:06:02.636392764+00:00,2012-03-14 15:11:49.414202929+00:00,1,11122.0
0,34,W_Completeren aanvraag,2012-03-14 15:11:49.414202929+00:00,2012-03-14 15:53:52.931039188+00:00,2,10809.0
1,51,W_Completeren aanvraag,2012-03-14 15:22:06.575268834+00:00,2012-03-14 15:22:22.966964395+00:00,3,11319.0
0,34,W_Completeren aanvraag,2012-03-14 15:53:52.931039188+00:00,2012-03-14 16:01:54.489205942+00:00,4,10809.0
1,4,W_Nabellen offertes,2012-03-14 15:22:22.966964395+00:00,2012-03-14 15:22:49.974162976+00:00,5,11049.0
2,56,W_Completeren aanvraag,2012-03-14 15:35:33.485083218+00:00,2012-03-14 15:44:15.072475994+00:00,6,11001.0
0,34,W_Nabellen offertes,2012-03-14 16:01:54.489205942+00:00,2012-03-14 16:14:51.807386988+00:00,7,10809.0
1,20,W_Nabellen offertes,2012-03-14 15:22:49.974162976+00:00,2012-03-14 15:23:05.640433414+00:00,8,10899.0
3,43,W_Afhandelen leads,2012-03-14 15:36:46.271142191+00:00,2012-03-14 15:42:41.181727172+00:00,9,10972.0
2,29,W_Completeren aanvraag,2012-03-14 15:44:15.072475994+00:00,2012-03-14 15:45:12.536748184+00:00,10,11122.0
0,34,W_Valideren aanvraag,2012-03-14 16:14:51.807386988+00:00,2012-03-14 16:18:39.466360465+00:00,11,10809.0
1,4,W_Nabellen offertes,2012-03-14 15:23:05.640433414+00:00,2012-03-14 15:24:44.674172515+00:00,12,11049.0
4,45,W_Afhandelen leads,2012-03-14 15:39:43.440458159+00:00,2012-03-14 15:45:12.160971771+00:00,13,10931.0
3,43,W_Completeren aanvraag,2012-03-14 15:42:41.181727172+00:00,2012-03-14 15:46:07.629750729+00:00,14,10972.0
0,37,W_Nabellen incomplete dossiers,2012-03-14 16:18:39.466360465+00:00,2012-03-14 16:28:53.945865512+00:00,16,11002.0
1,14,W_Valideren aanvraag,2012-03-14 15:24:44.674172515+00:00,2012-03-14 15:32:32.407143435+00:00,17,10939.0
4,11,W_Afhandelen leads,2012-03-14 15:45:12.160971771+00:00,2012-03-14 15:45:12.243943733+00:00,18,11169.0
3,43,W_Nabellen offertes,2012-03-14 15:46:07.629750729+00:00,2012-03-14 15:47:49.070673946+00:00,19,10972.0
5,42,W_Afhandelen leads,2012-03-14 16:20:51.011392163+00:00,2012-03-14 16:21:09.573341107+00:00,21,10228.0
0,45,W_Nabellen incomplete dossiers,2012-03-14 16:28:53.945865512+00:00,2012-03-14 16:29:36.397959341+00:00,22,10931.0
1,0,W_Nabellen incomplete dossiers,2012-03-14 15:32:32.407143435+00:00,2012-03-14 15:33:41.560946021+00:00,23,10861.0
4,49,W_Completeren aanvraag,2012-03-14 15:45:12.243943733+00:00,2012-03-14 15:46:57.021537550+00:00,24,11300.0
3,43,W_Nabellen offertes,2012-03-14 15:47:49.070673946+00:00,2012-03-14 15:48:03.577743975+00:00,25,10972.0
4,4,W_Nabellen offertes,2012-03-14 15:46:57.021537550+00:00,2012-03-14 15:47:08.364921889+00:00,28,11049.0
3,43,W_Nabellen offertes,2012-03-14 15:48:03.577743975+00:00,2012-03-14 15:48:18.273216413+00:00,29,10972.0
0,43,W_Valideren aanvraag,2012-03-14 16:29:36.397959341+00:00,2012-03-14 16:43:48.460415570+00:00,31,10972.0
4,14,W_Valideren aanvraag,2012-03-14 15:47:08.364921889+00:00,2012-03-14 15:55:29.961379931+00:00,32,10939.0
3,43,W_Nabellen offertes,2012-03-14 15:48:18.273216413+00:00,2012-03-14 15:48:52.847898736+00:00,33,10972.0
2,34,W_Completeren aanvraag,2012-03-14 16:18:39.466360465+00:00,2012-03-14 16:31:47.015951069+00:00,35,10809.0
6,6,W_Afhandelen leads,2012-03-14 16:39:34.452958663+00:00,2012-03-14 16:43:26.391154971+00:00,36,10909.0
0,12,W_Valideren aanvraag,2012-03-14 16:43:48.460415570+00:00,2012-03-14 17:10:04.788426735+00:00,37,10138.0
3,43,W_Nabellen offertes,2012-03-14 15:48:52.847898736+00:00,2012-03-14 15:49:50.051746177+00:00,38,10972.0
2,34,W_Completeren aanvraag,2012-03-14 16:31:47.015951069+00:00,2012-03-14 16:50:48.673553676+00:00,39,10809.0
7,27,W_Afhandelen leads,2012-03-14 16:42:35.377205786+00:00,2012-03-14 16:44:11.264500168+00:00,40,11000.0
6,19,W_Completeren aanvraag,2012-03-14 16:43:26.391154971+00:00,2012-03-14 16:44:00.190411966+00:00,41,10935.0
3,43,W_Nabellen offertes,2012-03-14 15:49:50.051746177+00:00,2012-03-14 15:50:06.904438570+00:00,42,10972.0
6,0,W_Completeren aanvraag,2012-03-14 16:44:00.190411966+00:00,2012-03-14 16:46:29.294660328+00:00,44,10861.0
7,27,W_Afhandelen leads,2012-03-14 16:44:11.264500168+00:00,2012-03-14 16:47:21.324182728+00:00,45,11000.0
2,34,W_Completeren aanvraag,2012-03-14 16:50:48.673553676+00:00,2012-03-14 17:29:11.069641612+00:00,46,10809.0
3,43,W_Nabellen offertes,2012-03-14 15:50:06.904438570+00:00,2012-03-14 15:50:31.053367970+00:00,47,10972.0
8,40,W_Completeren aanvraag,2012-03-14 16:45:35.619699014+00:00,2012-03-14 16:49:31.998627090+00:00,49,11009.0
6,30,W_Completeren aanvraag,2012-03-14 16:46:29.294660328+00:00,2012-03-14 16:47:49.347119823+00:00,50,10914.0
3,43,W_Nabellen offertes,2012-03-14 15:50:31.053367970+00:00,2012-03-14 15:50:47.446465064+00:00,51,10972.0
6,41,W_Completeren aanvraag,2012-03-14 16:47:49.347119823+00:00,2012-03-14 16:49:44.258186381+00:00,53,11180.0
8,13,W_Nabellen offertes,2012-03-14 16:49:31.998627090+00:00,2012-03-14 17:07:09.645175996+00:00,54,11189.0
9,55,W_Afhandelen leads,2012-03-14 16:50:21.994458953+00:00,2012-03-14 16:50:33.289458953+00:00,55,10124.0
2,34,W_Completeren aanvraag,2012-03-14 17:29:11.069641612+00:00,2012-03-14 17:32:02.659841582+00:00,56,10809.0
3,43,W_Valideren aanvraag,2012-03-14 15:50:47.446465064+00:00,2012-03-14 15:50:54.473744093+00:00,57,10972.0
6,52,W_Completeren aanvraag,2012-03-14 16:49:44.258186381+00:00,2012-03-14 16:51:05.933573865+00:00,59,11309.0
8,31,W_Nabellen offertes,2012-03-14 17:07:09.645175996+00:00,2012-03-14 17:08:43.722703745+00:00,60,10889.0
2,34,W_Completeren aanvraag,2012-03-14 17:32:02.659841582+00:00,2012-03-14 17:45:01.125496949+00:00,61,10809.0
3,37,W_Nabellen incomplete dossiers,2012-03-14 15:50:54.473744093+00:00,2012-03-14 15:54:51.160380092+00:00,62,11002.0
6,41,W_Completeren aanvraag,2012-03-14 16:51:05.933573865+00:00,2012-03-14 16:54:18.458673975+00:00,64,11180.0
10,35,W_Completeren aanvraag,2012-03-14 16:52:55.228439294+00:00,2012-03-14 16:59:32.036559026+00:00,65,10932.0
11,7,W_Completeren aanvraag,2012-03-14 17:03:16.501912846+00:00,2012-03-14 17:03:56.361314512+00:00,66,10982.0
8,21,W_Nabellen offertes,2012-03-14 17:08:43.722703745+00:00,2012-03-14 17:09:05.215311824+00:00,67,10789.0
2,34,W_Nabellen offertes,2012-03-14 17:45:01.125496949+00:00,2012-03-14 17:55:01.851149691+00:00,68,10809.0
3,45,W_Nabellen incomplete dossiers,2012-03-14 15:54:51.160380092+00:00,2012-03-14 15:56:43.777608045+00:00,69,10931.0
6,52,W_Completeren aanvraag,2012-03-14 16:54:18.458673975+00:00,2012-03-14 17:04:47.933605490+00:00,70,11309.0
10,45,W_Nabellen offertes,2012-03-14 16:59:32.036559026+00:00,2012-03-14 17:05:09.382532980+00:00,71,10931.0
11,49,W_Completeren aanvraag,2012-03-14 17:03:56.361314512+00:00,2012-03-14 17:25:44.494974331+00:00,72,11300.0
2,12,W_Nabellen offertes,2012-03-14 17:55:01.851149691+00:00,2012-03-14 17:55:30.758065094+00:00,74,10138.0
3,21,W_Nabellen incomplete dossiers,2012-03-14 15:56:43.777608045+00:00,2012-03-14 16:00:06.202329110+00:00,75,10789.0
12,39,W_Afhandelen leads,2012-03-14 17:13:28.287170007+00:00,2012-03-14 17:13:28.287170007+00:00,76,artificial_W_Afhandelen leads
11,17,W_Completeren aanvraag,2012-03-14 17:25:44.494974331+00:00,2012-03-14 17:30:58.421428874+00:00,77,10913.0
13,23,W_Completeren aanvraag,2012-03-14 17:32:01.094194895+00:00,2012-03-14 17:49:40.033818221+00:00,78,10863.0
2,33,W_Valideren aanvraag,2012-03-14 17:55:30.758065094+00:00,2012-03-14 17:57:29.276631196+00:00,80,11289.0
3,12,W_Nabellen incomplete dossiers,2012-03-14 16:00:06.202329110+00:00,2012-03-14 16:00:17.432461155+00:00,81,10138.0
10,28,W_Nabellen offertes,2012-03-14 17:05:09.382532980+00:00,2012-03-14 17:05:51.876668571+00:00,82,10881.0
2,25,W_Valideren aanvraag,2012-03-14 17:57:29.276631196+00:00,2012-03-14 17:57:52.560601105+00:00,84,10929.0
3,12,W_Nabellen incomplete dossiers,2012-03-14 16:00:17.432461155+00:00,2012-03-14 16:07:08.047157040+00:00,85,10138.0
10,28,W_Nabellen offertes,2012-03-14 17:05:51.876668571+00:00,2012-03-14 17:06:47.709070498+00:00,86,10881.0
11,26,W_Completeren aanvraag,2012-03-14 17:30:58.421428874+00:00,2012-03-14 17:32:14.916220823+00:00,87,11179.0
14,36,W_Completeren aanvraag,2012-03-14 17:51:20.369608945+00:00,2012-03-14 17:54:17.786920591+00:00,88,10912.0
15,15,W_Completeren aanvraag,2012-03-14 17:51:40.559554323+00:00,2012-03-14 18:02:53.476243979+00:00,89,11121.0
1,34,W_Nabellen incomplete dossiers,2012-03-14 17:55:01.851149691+00:00,2012-03-14 17:55:29.340169102+00:00,90,10809.0
2,25,W_Valideren aanvraag,2012-03-14 17:57:52.560601105+00:00,2012-03-14 17:58:28.446654325+00:00,91,10929.0
14,7,W_Completeren aanvraag,2012-03-14 17:54:17.786920591+00:00,2012-03-14 17:55:14.913944572+00:00,93,10982.0
1,0,W_Nabellen incomplete dossiers,2012-03-14 17:55:29.340169102+00:00,2012-03-14 17:56:04.055361774+00:00,94,10861.0
3,12,W_Nabellen incomplete dossiers,2012-03-14 17:10:04.788426735+00:00,2012-03-14 17:10:59.323002014+00:00,95,10138.0
11,28,W_Completeren aanvraag,2012-03-14 17:32:14.916220823+00:00,2012-03-14 17:34:10.963461264+00:00,96,10881.0
14,49,W_Completeren aanvraag,2012-03-14 17:55:14.913944572+00:00,2012-03-14 17:59:59.863632601+00:00,97,11300.0
1,34,W_Nabellen incomplete dossiers,2012-03-14 17:56:04.055361774+00:00,2012-03-14 17:56:53.472058050+00:00,98,10809.0
15,49,W_Completeren aanvraag,2012-03-14 18:02:53.476243979+00:00,2012-03-14 18:06:26.961209956+00:00,99,11300.0
3,12,W_Nabellen incomplete dossiers,2012-03-14 17:10:59.323002014+00:00,2012-03-14 17:14:54.164984924+00:00,100,10138.0
11,28,W_Completeren aanvraag,2012-03-14 17:34:10.963461264+00:00,2012-03-14 17:41:14.176029724+00:00,101,10881.0
1,0,W_Nabellen incomplete dossiers,2012-03-14 17:56:53.472058050+00:00,2012-03-14 18:00:13.601458169+00:00,102,10861.0
14,17,W_Completeren aanvraag,2012-03-14 17:59:59.863632601+00:00,2012-03-14 18:13:33.764259745+00:00,103,10913.0
3,12,W_Valideren aanvraag,2012-03-14 17:14:54.164984924+00:00,2012-03-14 17:18:03.785064650+00:00,105,10138.0
11,28,W_Completeren aanvraag,2012-03-14 17:41:14.176029724+00:00,2012-03-14 17:46:35.709942354+00:00,106,10881.0
1,34,W_Nabellen incomplete dossiers,2012-03-14 18:00:13.601458169+00:00,2012-03-14 18:09:16.488622855+00:00,107,10809.0
14,26,W_Completeren aanvraag,2012-03-14 18:13:33.764259745+00:00,2012-03-14 18:13:47.396679389+00:00,108,11179.0
15,17,W_Completeren aanvraag,2012-03-14 18:13:33.764259745+00:00,2012-03-14 18:48:30.179353188+00:00,109,10913.0
1,34,W_Valideren aanvraag,2012-03-14 18:09:16.488622855+00:00,2012-03-14 18:48:45.265552307+00:00,110,10809.0
14,28,W_Completeren aanvraag,2012-03-14 18:13:47.396679389+00:00,2012-03-14 18:18:53.151738777+00:00,111,10881.0
16,54,W_Afhandelen leads,2012-03-14 18:46:31.579164039+00:00,2012-03-14 18:51:09.531090+00:00,112,10779.0
15,26,W_Completeren aanvraag,2012-03-14 18:48:30.179353188+00:00,2012-03-14 18:53:03.171790624+00:00,113,11179.0
11,28,W_Completeren aanvraag,2012-03-14 17:46:35.709942354+00:00,2012-03-14 17:53:24.564011398+00:00,114,10881.0
14,28,W_Completeren aanvraag,2012-03-14 18:18:53.151738777+00:00,2012-03-14 18:23:38.057292017+00:00,115,10881.0
17,2,W_Afhandelen leads,2012-03-14 18:46:51.374430177+00:00,2012-03-14 18:47:16.561122617+00:00,116,11003.0
1,37,W_Nabellen incomplete dossiers,2012-03-14 18:48:45.265552307+00:00,2012-03-14 18:49:55.180858225+00:00,117,11002.0
11,28,W_Completeren aanvraag,2012-03-14 17:53:24.564011398+00:00,2012-03-14 17:56:31.952181994+00:00,118,10881.0
14,28,W_Completeren aanvraag,2012-03-14 18:23:38.057292017+00:00,2012-03-14 18:26:47.906062192+00:00,119,10881.0
17,22,W_Completeren aanvraag,2012-03-14 18:47:16.561122617+00:00,2012-03-14 19:01:12.889963335+00:00,120,11201.0
1,45,W_Nabellen incomplete dossiers,2012-03-14 18:49:55.180858225+00:00,2012-03-14 18:58:35.624710425+00:00,121,10931.0
15,7,W_Nabellen offertes,2012-03-14 18:53:03.171790624+00:00,2012-03-14 18:54:11.843020851+00:00,122,10982.0
15,14,W_Nabellen offertes,2012-03-14 18:54:11.843020851+00:00,2012-03-14 18:55:35.558194981+00:00,123,10939.0
1,21,W_Nabellen incomplete dossiers,2012-03-14 18:58:35.624710425+00:00,2012-03-14 18:59:17.589215256+00:00,124,10789.0
14,28,W_Completeren aanvraag,2012-03-14 18:26:47.906062192+00:00,2012-03-14 18:37:37.499128661+00:00,125,10881.0
15,17,W_Nabellen offertes,2012-03-14 18:55:35.558194981+00:00,2012-03-14 18:56:57.947659184+00:00,126,10913.0
1,21,W_Valideren aanvraag,2012-03-14 18:59:17.589215256+00:00,2012-03-14 18:59:50.306500349+00:00,127,10789.0
