case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,10,W_Afhandelen leads,2012-03-14 15:04:54.681000+00:00,2012-03-14 15:06:02.202652396+00:00,0,10910.0
1,25,W_Completeren aanvraag,2012-03-14 15:08:26.835584286+00:00,2012-03-14 15:14:13.336545850+00:00,1,10929.0
2,29,W_Afhandelen leads,2012-03-14 15:08:32.318219480+00:00,2012-03-14 15:11:42.803151487+00:00,2,11122.0
1,7,W_Completeren aanvraag,2012-03-14 15:14:13.336545850+00:00,2012-03-14 15:15:33.084798897+00:00,3,10982.0
2,24,W_Completeren aanvraag,2012-03-14 15:11:42.803151487+00:00,2012-03-14 15:15:51.692735875+00:00,4,11203.0
3,42,W_Afhandelen leads,2012-03-14 15:15:25.460682404+00:00,2012-03-14 15:33:48.440492860+00:00,5,10228.0
1,11,W_Completeren aanvraag,2012-03-14 15:15:33.084798897+00:00,2012-03-14 15:19:38.812866052+00:00,6,11169.0
4,47,W_Afhandelen leads,2012-03-14 15:15:26.860478760+00:00,2012-03-14 15:18:36.699571960+00:00,7,11299.0
2,1,W_Completeren aanvraag,2012-03-14 15:15:51.692735875+00:00,2012-03-14 15:22:42.451044821+00:00,8,artificial_W_Completeren aanvraag
1,17,W_Nabellen offertes,2012-03-14 15:19:38.812866052+00:00,2012-03-14 15:20:44.113990183+00:00,9,10913.0
3,24,W_Afhandelen leads,2012-03-14 15:33:48.440492860+00:00,2012-03-14 15:33:53.267303647+00:00,10,11203.0
1,3,W_Nabellen offertes,2012-03-14 15:20:44.113990183+00:00,2012-03-14 15:21:48.567594332+00:00,12,artificial_W_Nabellen offertes
2,1,W_Completeren aanvraag,2012-03-14 15:22:42.451044821+00:00,2012-03-14 15:35:22.387096719+00:00,13,artificial_W_Completeren aanvraag
5,18,W_Completeren aanvraag,2012-03-14 15:26:50.051727618+00:00,2012-03-14 15:29:36.875298842+00:00,14,11019.0
4,11,W_Completeren aanvraag,2012-03-14 15:19:38.812866052+00:00,2012-03-14 15:23:51.873875818+00:00,15,11169.0
1,43,W_Nabellen offertes,2012-03-14 15:21:48.567594332+00:00,2012-03-14 15:22:17.999868733+00:00,16,10972.0
1,20,W_Nabellen offertes,2012-03-14 15:22:17.999868733+00:00,2012-03-14 15:22:47.572357151+00:00,17,10899.0
2,1,W_Completeren aanvraag,2012-03-14 15:35:22.387096719+00:00,2012-03-14 15:59:17.932155662+00:00,18,artificial_W_Completeren aanvraag
1,19,W_Valideren aanvraag,2012-03-14 15:22:47.572357151+00:00,2012-03-14 15:23:27.916860130+00:00,19,10935.0
6,5,W_Afhandelen leads,2012-03-14 15:31:41.080952719+00:00,2012-03-14 15:32:47.315810460+00:00,20,10629.0
7,12,W_Afhandelen leads,2012-03-14 15:31:47.062669179+00:00,2012-03-14 15:33:29.754950583+00:00,21,10138.0
2,1,W_Completeren aanvraag,2012-03-14 15:59:17.932155662+00:00,2012-03-14 16:01:26.702224787+00:00,22,artificial_W_Completeren aanvraag
8,34,W_Completeren aanvraag,2012-03-14 15:33:18.083756954+00:00,2012-03-14 15:51:10.194983083+00:00,23,10809.0
7,12,W_Completeren aanvraag,2012-03-14 15:33:29.754950583+00:00,2012-03-14 15:42:26.531612625+00:00,24,10138.0
2,3,W_Nabellen offertes,2012-03-14 16:01:26.702224787+00:00,2012-03-14 16:03:27.129780556+00:00,25,artificial_W_Nabellen offertes
6,28,W_Completeren aanvraag,2012-03-14 15:32:47.315810460+00:00,2012-03-14 15:39:23.594174632+00:00,26,10881.0
9,59,W_Afhandelen leads,2012-03-14 15:33:48.562234108+00:00,2012-03-15 07:40:44.144234108+00:00,27,11269.0
7,12,W_Nabellen offertes,2012-03-14 15:42:26.531612625+00:00,2012-03-14 15:42:59.759256497+00:00,28,10138.0
8,34,W_Nabellen offertes,2012-03-14 15:51:10.194983083+00:00,2012-03-14 15:59:00.663281659+00:00,29,10809.0
2,43,W_Nabellen offertes,2012-03-14 16:03:27.129780556+00:00,2012-03-14 16:03:38.692765420+00:00,30,10972.0
10,41,W_Afhandelen leads,2012-03-14 15:34:06.910456022+00:00,2012-03-14 15:35:01.237059536+00:00,31,11180.0
8,34,W_Valideren aanvraag,2012-03-14 15:59:00.663281659+00:00,2012-03-14 16:01:50.811042885+00:00,32,10809.0
2,20,W_Nabellen offertes,2012-03-14 16:03:38.692765420+00:00,2012-03-14 16:03:52.124707036+00:00,33,10899.0
9,0,W_Completeren aanvraag,2012-03-15 07:40:44.144234108+00:00,2012-03-15 07:51:15.499023902+00:00,34,10861.0
11,8,W_Completeren aanvraag,2012-03-14 15:55:58.641076478+00:00,2012-03-14 15:56:33.835774797+00:00,35,11181.0
9,42,W_Completeren aanvraag,2012-03-15 07:51:15.499023902+00:00,2012-03-15 07:52:05.256452276+00:00,36,10228.0
7,3,W_Nabellen offertes,2012-03-14 15:42:59.759256497+00:00,2012-03-14 15:44:09.001026865+00:00,37,artificial_W_Nabellen offertes
11,13,W_Completeren aanvraag,2012-03-14 15:56:33.835774797+00:00,2012-03-14 16:13:27.037275206+00:00,38,11189.0
2,20,W_Nabellen offertes,2012-03-14 16:03:52.124707036+00:00,2012-03-14 16:03:59.672328693+00:00,39,10899.0
12,14,W_Completeren aanvraag,2012-03-14 16:53:29.322217938+00:00,2012-03-14 16:57:27.372007959+00:00,40,10939.0
9,51,W_Completeren aanvraag,2012-03-15 07:52:05.256452276+00:00,2012-03-15 07:59:24.527803891+00:00,41,11319.0
7,43,W_Nabellen offertes,2012-03-14 15:44:09.001026865+00:00,2012-03-14 15:44:42.162409001+00:00,42,10972.0
2,20,W_Nabellen offertes,2012-03-14 16:03:59.672328693+00:00,2012-03-14 16:04:29.320112755+00:00,43,10899.0
11,23,W_Completeren aanvraag,2012-03-14 16:13:27.037275206+00:00,2012-03-14 16:15:22.563927464+00:00,44,10863.0
13,45,W_Afhandelen leads,2012-03-14 16:53:46.442933724+00:00,2012-03-14 16:56:47.199622009+00:00,45,10931.0
12,11,W_Nabellen offertes,2012-03-14 16:57:27.372007959+00:00,2012-03-14 16:58:37.890073551+00:00,46,11169.0
7,43,W_Valideren aanvraag,2012-03-14 15:44:42.162409001+00:00,2012-03-14 15:54:33.274691390+00:00,47,10972.0
2,20,W_Nabellen offertes,2012-03-14 16:04:29.320112755+00:00,2012-03-14 16:04:47.226593774+00:00,48,10899.0
11,13,W_Completeren aanvraag,2012-03-14 16:15:22.563927464+00:00,2012-03-14 16:19:36.771071776+00:00,49,11189.0
14,2,W_Completeren aanvraag,2012-03-14 16:54:38.945898011+00:00,2012-03-14 16:58:22.889429228+00:00,50,11003.0
7,37,W_Nabellen incomplete dossiers,2012-03-14 15:54:33.274691390+00:00,2012-03-14 15:54:33.316945218+00:00,51,11002.0
2,20,W_Nabellen offertes,2012-03-14 16:04:47.226593774+00:00,2012-03-14 16:05:14.303493259+00:00,52,10899.0
11,23,W_Completeren aanvraag,2012-03-14 16:19:36.771071776+00:00,2012-03-14 16:22:25.745708523+00:00,53,10863.0
14,18,W_Completeren aanvraag,2012-03-14 16:58:22.889429228+00:00,2012-03-14 17:02:43.131277568+00:00,54,11019.0
12,6,W_Valideren aanvraag,2012-03-14 16:58:37.890073551+00:00,2012-03-14 17:01:51.032490534+00:00,55,10909.0
11,13,W_Completeren aanvraag,2012-03-14 16:22:25.745708523+00:00,2012-03-14 16:29:37.529980622+00:00,56,11189.0
15,33,W_Completeren aanvraag,2012-03-14 16:58:48.418650304+00:00,2012-03-14 17:00:13.355504253+00:00,57,11289.0
12,6,W_Nabellen incomplete dossiers,2012-03-14 17:01:51.032490534+00:00,2012-03-14 17:04:00.163129910+00:00,58,10909.0
14,46,W_Completeren aanvraag,2012-03-14 17:02:43.131277568+00:00,2012-03-14 17:03:02.601409042+00:00,59,10933.0
2,20,W_Nabellen offertes,2012-03-14 16:05:14.303493259+00:00,2012-03-14 16:05:32.585635828+00:00,60,10899.0
14,22,W_Completeren aanvraag,2012-03-14 17:03:02.601409042+00:00,2012-03-14 17:15:00.171624733+00:00,61,11201.0
12,10,W_Nabellen incomplete dossiers,2012-03-14 17:04:00.163129910+00:00,2012-03-14 17:05:20.593978343+00:00,62,10910.0
2,20,W_Nabellen offertes,2012-03-14 16:05:32.585635828+00:00,2012-03-14 16:05:50.390926541+00:00,63,10899.0
