case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,start,2021-03-31 03:59:50.624000+00:00,2021-03-31 03:59:50.624000+00:00,0,artificial_start
0,1,A,2021-03-31 03:59:50.624000+00:00,2021-03-31 04:32:46.625621178+00:00,1,ABC-000001
0,1,B,2021-03-31 04:32:46.625621178+00:00,2021-03-31 04:56:42.381187221+00:00,2,ABC-000001
0,1,G,2021-03-31 04:56:42.381187221+00:00,2021-03-31 05:10:29.441087877+00:00,3,ABC-000001
0,2,M5,2021-03-31 05:10:29.441087877+00:00,2021-03-31 05:14:50.373507080+00:00,4,artificial_M5
0,1,F,2021-03-31 05:14:50.373507080+00:00,2021-03-31 05:15:15.846651817+00:00,5,ABC-000001
0,1,D,2021-03-31 05:15:15.846651817+00:00,2021-03-31 05:16:53.740322602+00:00,6,ABC-000001
0,3,M4,2021-03-31 05:16:53.740322602+00:00,2021-04-01 09:14:00.539696646+00:00,7,artificial_M4
1,0,start,2021-03-31 09:10:30.073780938+00:00,2021-03-31 09:10:30.073780938+00:00,8,artificial_start
0,1,H,2021-04-01 09:14:00.539696646+00:00,2021-04-01 09:26:42.394991747+00:00,9,ABC-000001
1,1,A,2021-03-31 09:10:30.073780938+00:00,2021-03-31 09:11:27.327058407+00:00,10,ABC-000001
2,0,start,2021-03-31 09:14:38.927718622+00:00,2021-03-31 09:14:38.927718622+00:00,11,artificial_start
0,5,M2,2021-04-01 09:26:42.394991747+00:00,2021-04-01 10:21:10.510418487+00:00,12,artificial_M2
1,1,B,2021-03-31 09:11:27.327058407+00:00,2021-03-31 09:28:37.482083904+00:00,13,ABC-000001
3,0,start,2021-03-31 09:17:40.137030310+00:00,2021-03-31 09:17:40.137030310+00:00,15,artificial_start
0,1,C,2021-04-01 10:21:10.510418487+00:00,2021-04-01 10:29:12.712552673+00:00,16,ABC-000001
1,1,G,2021-03-31 09:28:37.482083904+00:00,2021-03-31 09:29:27.552750998+00:00,18,ABC-000001
4,0,start,2021-03-31 10:09:00.663312583+00:00,2021-03-31 10:09:00.663312583+00:00,20,artificial_start
0,4,M6,2021-04-01 10:29:12.712552673+00:00,2021-04-01 11:37:25.346407554+00:00,21,artificial_M6
1,1,F,2021-03-31 09:29:27.552750998+00:00,2021-03-31 09:30:14.563085027+00:00,23,ABC-000001
4,1,A,2021-03-31 10:09:00.663312583+00:00,2021-03-31 10:09:27.543533859+00:00,25,ABC-000001
5,0,start,2021-03-31 10:20:30.029337738+00:00,2021-03-31 10:20:30.029337738+00:00,26,artificial_start
0,1,E,2021-04-01 11:37:25.346407554+00:00,2021-04-01 11:37:28.707186342+00:00,27,ABC-000001
1,2,M5,2021-03-31 09:30:14.563085027+00:00,2021-03-31 09:41:26.557624135+00:00,29,artificial_M5
2,1,A,2021-03-31 09:30:14.563085027+00:00,2021-03-31 09:42:11.169542806+00:00,30,ABC-000001
4,1,B,2021-03-31 10:09:27.543533859+00:00,2021-03-31 10:15:25.631742664+00:00,31,ABC-000001
5,1,A,2021-03-31 10:20:30.029337738+00:00,2021-03-31 10:24:41.726553956+00:00,32,ABC-000001
6,0,start,2021-03-31 10:36:27.191357757+00:00,2021-03-31 10:36:27.191357757+00:00,33,artificial_start
0,6,M1,2021-04-01 11:37:28.707186342+00:00,2021-04-01 11:45:38.941621446+00:00,34,artificial_M1
2,1,B,2021-03-31 09:42:11.169542806+00:00,2021-03-31 09:48:19.962056506+00:00,37,ABC-000001
4,1,G,2021-03-31 10:15:25.631742664+00:00,2021-03-31 10:18:55.728155273+00:00,38,ABC-000001
5,1,B,2021-03-31 10:24:41.726553956+00:00,2021-03-31 10:42:22.414594608+00:00,39,ABC-000001
7,0,start,2021-03-31 11:04:17.625810613+00:00,2021-03-31 11:04:17.625810613+00:00,41,artificial_start
0,7,M3,2021-04-01 11:45:38.941621446+00:00,2021-04-01 12:08:40.220247661+00:00,42,artificial_M3
2,1,G,2021-03-31 09:48:19.962056506+00:00,2021-03-31 10:01:07.391700589+00:00,44,ABC-000001
4,1,F,2021-03-31 10:18:55.728155273+00:00,2021-03-31 10:19:08.788583946+00:00,45,ABC-000001
5,1,G,2021-03-31 10:42:22.414594608+00:00,2021-03-31 10:44:02.096998140+00:00,46,ABC-000001
7,1,A,2021-03-31 11:04:17.625810613+00:00,2021-03-31 11:04:36.618107590+00:00,48,ABC-000001
8,0,start,2021-03-31 11:29:29.839676937+00:00,2021-03-31 11:29:29.839676937+00:00,49,artificial_start
1,3,M4,2021-04-01 09:14:00.539696646+00:00,2021-04-01 10:25:04.004434868+00:00,50,artificial_M4
0,8,S1,2021-04-01 12:08:40.220247661+00:00,2021-04-01 12:08:40.220247661+00:00,51,artificial_S1
2,1,F,2021-03-31 10:01:07.391700589+00:00,2021-03-31 10:03:47.425763403+00:00,53,ABC-000001
4,2,M5,2021-03-31 10:19:08.788583946+00:00,2021-03-31 10:23:48.348166004+00:00,54,artificial_M5
5,1,F,2021-03-31 10:44:02.096998140+00:00,2021-03-31 10:45:28.654144301+00:00,55,ABC-000001
7,1,B,2021-03-31 11:04:36.618107590+00:00,2021-03-31 11:22:58.909149262+00:00,57,ABC-000001
8,1,A,2021-03-31 11:29:29.839676937+00:00,2021-03-31 11:45:34.018828178+00:00,58,ABC-000001
9,0,start,2021-03-31 13:36:08.400186771+00:00,2021-03-31 13:36:08.400186771+00:00,59,artificial_start
0,25,FDFDLFJSO,2021-04-01 12:08:40.220247661+00:00,2021-04-02 03:00:00.000000661+00:00,61,artificial_FDFDLFJSO
2,2,M5,2021-03-31 10:03:47.425763403+00:00,2021-03-31 10:20:16.344020829+00:00,63,artificial_M5
5,2,M5,2021-03-31 10:45:28.654144301+00:00,2021-03-31 10:57:54.881385932+00:00,65,artificial_M5
6,1,A,2021-03-31 10:45:28.654144301+00:00,2021-03-31 10:50:07.166307657+00:00,66,ABC-000001
7,1,G,2021-03-31 11:22:58.909149262+00:00,2021-03-31 11:25:20.543260444+00:00,67,ABC-000001
8,1,B,2021-03-31 11:45:34.018828178+00:00,2021-03-31 11:54:14.256898544+00:00,68,ABC-000001
9,1,A,2021-03-31 13:36:08.400186771+00:00,2021-03-31 13:59:58.511549618+00:00,69,ABC-000001
10,0,start,2021-04-01 09:00:31+00:00,2021-04-01 09:00:31+00:00,70,artificial_start
1,1,D,2021-04-01 10:29:12.712552673+00:00,2021-04-01 10:38:49.360294185+00:00,71,ABC-000001
0,1,I,2021-04-02 03:00:00.000000661+00:00,2021-04-02 03:01:00.000000661+00:00,72,ABC-000001
6,1,B,2021-03-31 10:50:07.166307657+00:00,2021-03-31 10:58:25.490617602+00:00,75,ABC-000001
7,1,F,2021-03-31 11:25:20.543260444+00:00,2021-03-31 11:25:33.401802058+00:00,77,ABC-000001
8,1,G,2021-03-31 11:54:14.256898544+00:00,2021-03-31 12:08:00.620527249+00:00,78,ABC-000001
9,1,B,2021-03-31 13:59:58.511549618+00:00,2021-03-31 14:02:09.014245986+00:00,79,ABC-000001
11,0,start,2021-04-01 09:32:10.337507428+00:00,2021-04-01 09:32:10.337507428+00:00,82,artificial_start
1,5,M2,2021-04-01 10:38:49.360294185+00:00,2021-04-01 10:47:32.073909092+00:00,83,artificial_M2
0,1,P,2021-04-02 03:01:00.000000661+00:00,2021-04-02 03:20:10.441271527+00:00,84,ABC-000001
7,2,M5,2021-03-31 11:25:33.401802058+00:00,2021-03-31 11:46:13.778877711+00:00,89,artificial_M5
8,2,M5,2021-03-31 12:08:00.620527249+00:00,2021-03-31 12:45:53.260819401+00:00,90,artificial_M5
9,1,G,2021-03-31 14:02:09.014245986+00:00,2021-03-31 14:17:38.519432688+00:00,91,ABC-000001
10,1,A,2021-04-01 09:26:42.394991747+00:00,2021-04-01 09:32:44.630803407+00:00,92,ABC-000001
12,0,start,2021-04-01 09:48:35.635095365+00:00,2021-04-01 09:48:35.635095365+00:00,95,artificial_start
1,1,H,2021-04-01 10:47:32.073909092+00:00,2021-04-01 10:50:12.644916213+00:00,96,ABC-000001
0,15,Q,2021-04-02 03:20:10.441271527+00:00,2021-04-02 03:58:37.452001787+00:00,97,DEF-000002
8,1,F,2021-03-31 12:45:53.260819401+00:00,2021-03-31 12:46:57.078378754+00:00,102,ABC-000001
9,2,M5,2021-03-31 14:17:38.519432688+00:00,2021-03-31 15:00:44.809645390+00:00,103,artificial_M5
10,1,B,2021-04-01 09:32:44.630803407+00:00,2021-04-01 09:42:25.752369869+00:00,105,ABC-000001
12,1,A,2021-04-01 09:48:35.635095365+00:00,2021-04-01 09:51:57.063568971+00:00,108,ABC-000001
1,1,C,2021-04-01 10:50:12.644916213+00:00,2021-04-01 10:50:46.421124921+00:00,109,ABC-000001
13,0,start,2021-04-01 10:56:49.389650049+00:00,2021-04-01 10:56:49.389650049+00:00,110,artificial_start
0,15,R,2021-04-02 03:58:37.452001787+00:00,2021-04-02 04:00:41.203833827+00:00,111,DEF-000002
8,1,D,2021-03-31 12:46:57.078378754+00:00,2021-03-31 12:52:04.424121506+00:00,116,ABC-000001
9,1,F,2021-03-31 15:00:44.809645390+00:00,2021-03-31 15:02:07.571634145+00:00,117,ABC-000001
12,1,B,2021-04-01 09:51:57.063568971+00:00,2021-04-01 09:53:35.732484910+00:00,122,ABC-000001
13,1,A,2021-04-01 10:56:49.389650049+00:00,2021-04-01 10:59:06.508148816+00:00,124,ABC-000001
14,0,start,2021-04-01 11:47:17.018191416+00:00,2021-04-01 11:47:17.018191416+00:00,125,artificial_start
0,15,S,2021-04-02 04:00:41.203833827+00:00,2021-04-02 04:00:41.203833827+00:00,126,DEF-000002
