case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,start,2021-03-31 03:59:50.624000+00:00,2021-03-31 03:59:50.624000+00:00,0,artificial_start
0,1,A,2021-03-31 03:59:50.624000+00:00,2021-03-31 04:16:12.678273096+00:00,1,ABC-000001
0,1,B,2021-03-31 04:16:12.678273096+00:00,2021-03-31 04:37:55.794240308+00:00,2,ABC-000001
0,1,G,2021-03-31 04:37:55.794240308+00:00,2021-03-31 04:38:30.391688986+00:00,3,ABC-000001
0,2,M5,2021-03-31 04:38:30.391688986+00:00,2021-03-31 05:35:14.142793056+00:00,4,artificial_M5
0,1,F,2021-03-31 05:35:14.142793056+00:00,2021-03-31 05:36:37.649330726+00:00,5,ABC-000001
0,1,D,2021-03-31 05:36:37.649330726+00:00,2021-03-31 06:24:08.492051534+00:00,6,ABC-000001
0,3,M4,2021-03-31 06:24:08.492051534+00:00,2021-04-01 09:35:17.042385762+00:00,7,artificial_M4
1,0,start,2021-03-31 09:20:00.142069117+00:00,2021-03-31 09:20:00.142069117+00:00,8,artificial_start
0,1,H,2021-04-01 09:35:17.042385762+00:00,2021-04-01 09:43:37.561661428+00:00,9,ABC-000001
1,1,A,2021-03-31 09:20:00.142069117+00:00,2021-03-31 09:26:33.945320195+00:00,10,ABC-000001
2,0,start,2021-03-31 10:40:35.939785650+00:00,2021-03-31 10:40:35.939785650+00:00,11,artificial_start
0,5,M2,2021-04-01 09:43:37.561661428+00:00,2021-04-01 10:02:57.319476588+00:00,12,artificial_M2
1,1,B,2021-03-31 09:26:33.945320195+00:00,2021-03-31 09:30:29.137556066+00:00,13,ABC-000001
2,1,A,2021-03-31 10:40:35.939785650+00:00,2021-03-31 10:41:17.959287491+00:00,14,ABC-000001
3,0,start,2021-03-31 12:23:59.022884196+00:00,2021-03-31 12:23:59.022884196+00:00,15,artificial_start
0,1,C,2021-04-01 10:02:57.319476588+00:00,2021-04-01 10:13:45.300608+00:00,16,ABC-000001
1,1,G,2021-03-31 09:30:29.137556066+00:00,2021-03-31 09:40:57.452146616+00:00,17,ABC-000001
2,1,B,2021-03-31 10:41:17.959287491+00:00,2021-03-31 10:42:43.820170594+00:00,18,ABC-000001
3,1,A,2021-03-31 12:23:59.022884196+00:00,2021-03-31 12:33:33.386866637+00:00,19,ABC-000001
4,0,start,2021-03-31 12:30:05.645596327+00:00,2021-03-31 12:30:05.645596327+00:00,20,artificial_start
0,4,M6,2021-04-01 10:13:45.300608+00:00,2021-04-01 10:45:26.600150363+00:00,21,artificial_M6
1,1,F,2021-03-31 09:40:57.452146616+00:00,2021-03-31 09:43:51.024168930+00:00,22,ABC-000001
2,1,G,2021-03-31 10:42:43.820170594+00:00,2021-03-31 10:45:40.517778228+00:00,23,ABC-000001
3,1,B,2021-03-31 12:33:33.386866637+00:00,2021-03-31 12:40:39.729830274+00:00,25,ABC-000001
5,0,start,2021-03-31 12:33:59.114537070+00:00,2021-03-31 12:33:59.114537070+00:00,26,artificial_start
0,1,E,2021-04-01 10:45:26.600150363+00:00,2021-04-01 10:52:45.042536959+00:00,27,ABC-000001
1,2,M5,2021-03-31 09:43:51.024168930+00:00,2021-03-31 09:52:39.270724815+00:00,28,artificial_M5
2,1,F,2021-03-31 10:45:40.517778228+00:00,2021-03-31 10:46:53.739283462+00:00,29,ABC-000001
3,1,G,2021-03-31 12:40:39.729830274+00:00,2021-03-31 12:41:20.517534811+00:00,32,ABC-000001
6,0,start,2021-03-31 15:00:05.873707111+00:00,2021-03-31 15:00:05.873707111+00:00,33,artificial_start
0,6,M1,2021-04-01 10:52:45.042536959+00:00,2021-04-01 11:08:04.978268010+00:00,34,artificial_M1
