case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Start,2016-06-30 22:13:33+00:00,2016-06-30 22:13:33+00:00,0,Start
0,185,Traer informacion estudiante - banner,2016-06-30 22:13:33+00:00,2016-06-30 22:13:33+00:00,1,7423
0,185,Radicar Solicitud Homologacion,2016-06-30 22:13:33+00:00,2016-06-30 22:13:39+00:00,2,7423
0,30,Validar solicitud,2016-06-30 22:13:39+00:00,2016-06-30 22:13:39+00:00,3,677
0,30,Homologacion por grupo de cursos,2016-06-30 22:13:39+00:00,2016-06-30 22:13:39+00:00,4,677
0,4,End,2016-06-30 22:13:39+00:00,2016-06-30 22:13:39+00:00,5,End
1,0,Start,2016-06-30 22:36:12.425678022+00:00,2016-06-30 22:36:12.425678022+00:00,6,Start
1,185,Traer informacion estudiante - banner,2016-06-30 22:36:12.425678022+00:00,2016-06-30 22:36:12.425678022+00:00,7,7423
1,185,Radicar Solicitud Homologacion,2016-06-30 22:36:12.425678022+00:00,2016-06-30 22:36:18.425678022+00:00,8,7423
1,30,Validar solicitud,2016-06-30 22:36:18.425678022+00:00,2016-06-30 22:36:18.425678022+00:00,9,677
1,30,Revisar curso,2016-06-30 22:36:18.425678022+00:00,2016-06-30 22:36:18.425678022+00:00,10,677
1,236,Homologacion por grupo de cursos,2016-06-30 22:36:18.425678022+00:00,2016-06-30 22:37:01.425678022+00:00,11,6995
1,236,Evaluacion curso,2016-06-30 22:37:01.425678022+00:00,2016-06-30 22:37:18.773940009+00:00,12,6995
1,4,End,2016-06-30 22:37:18.773940009+00:00,2016-06-30 22:37:18.773940009+00:00,13,End
2,0,Start,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,14,Start
2,185,Traer informacion estudiante - banner,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,15,7423
2,185,Radicar Solicitud Homologacion,2016-07-01 00:20:32+00:00,2016-07-01 00:20:38+00:00,16,7423
2,30,Validar solicitud,2016-07-01 00:20:38+00:00,2016-07-01 00:20:38+00:00,17,677
2,30,Homologacion por grupo de cursos,2016-07-01 00:20:38+00:00,2016-07-01 00:20:38+00:00,18,677
2,4,End,2016-07-01 00:20:38+00:00,2016-07-01 00:20:38+00:00,19,End
3,0,Start,2016-07-01 00:43:04.122829240+00:00,2016-07-01 00:43:04.122829240+00:00,20,Start
3,185,Traer informacion estudiante - banner,2016-07-01 00:43:04.122829240+00:00,2016-07-01 00:43:04.122829240+00:00,21,7423
3,185,Radicar Solicitud Homologacion,2016-07-01 00:43:04.122829240+00:00,2016-07-01 00:43:10.122829240+00:00,22,7423
3,30,Validar solicitud,2016-07-01 00:43:10.122829240+00:00,2016-07-01 00:43:10.122829240+00:00,23,677
