case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Start,2016-06-30 22:13:33+00:00,2016-06-30 22:13:33+00:00,0,Start
0,6,Notificacion estudiante cancelacion soli,2016-06-30 22:13:33+00:00,2016-06-30 22:13:33+00:00,1,22475
1,0,Start,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,3,Start
0,420,Traer informacion estudiante - banner,2016-07-01 13:00:00+00:00,2016-07-01 13:00:00+00:00,4,10176
1,197,Traer informacion estudiante - banner,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,5,6894
2,0,Start,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,6,Start
0,420,Radicar Solicitud Homologacion,2016-07-01 13:00:00+00:00,2016-07-01 13:00:00+00:00,7,10176
1,197,Radicar Solicitud Homologacion,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,8,6894
2,197,Traer informacion estudiante - banner,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,9,6894
3,0,Start,2016-07-01 03:15:49.415086996+00:00,2016-07-01 03:15:49.415086996+00:00,10,Start
0,6,Cancelar Solicitud,2016-07-01 13:00:00+00:00,2016-07-01 13:00:15.721544154+00:00,11,22475
1,30,Validar solicitud,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,12,677
2,197,Radicar Solicitud Homologacion,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,13,6894
3,11,Revisar curso,2016-07-01 03:15:49.415086996+00:00,2016-07-01 03:15:49.415086996+00:00,14,19019
4,0,Start,2016-07-01 10:09:07.152501846+00:00,2016-07-01 10:09:07.152501846+00:00,15,Start
0,4,End,2016-07-01 13:00:15.721544154+00:00,2016-07-01 13:00:15.721544154+00:00,16,End
1,30,Homologacion por grupo de cursos,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,17,677
2,8,Cancelar Solicitud,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,18,8916
3,334,Traer informacion estudiante - banner,2016-07-01 03:15:49.415086996+00:00,2016-07-01 03:15:49.415086996+00:00,19,4126
4,197,Traer informacion estudiante - banner,2016-07-01 10:09:07.152501846+00:00,2016-07-01 10:09:07.152501846+00:00,20,6894
1,4,End,2016-07-01 00:20:32+00:00,2016-07-01 00:20:32+00:00,21,End
2,8,Notificacion estudiante cancelacion soli,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,22,8916
3,334,Radicar Solicitud Homologacion,2016-07-01 03:15:49.415086996+00:00,2016-07-02 00:00:02.497785135+00:00,23,4126
4,197,Radicar Solicitud Homologacion,2016-07-01 10:09:07.152501846+00:00,2016-07-01 10:09:07.152501846+00:00,24,6894
4,30,Validar solicitud,2016-07-01 10:09:07.152501846+00:00,2016-07-01 10:09:07.152501846+00:00,25,677
2,4,End,2016-07-01 00:35:38.944647591+00:00,2016-07-01 00:35:38.944647591+00:00,27,End
4,30,Cancelar Solicitud,2016-07-01 10:09:07.152501846+00:00,2016-07-01 10:26:58.920495101+00:00,28,677
5,0,Start,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,29,Start
3,11,Validar solicitud,2016-07-02 01:00:00+00:00,2016-07-02 01:00:04+00:00,30,19019
5,197,Traer informacion estudiante - banner,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,31,6894
6,0,Start,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,32,Start
3,320,Cancelar Solicitud,2016-07-02 01:00:04+00:00,2016-07-02 01:00:04+00:00,33,9404
4,30,Notificacion estudiante cancelacion soli,2016-07-01 10:26:58.920495101+00:00,2016-07-01 10:26:58.920495101+00:00,34,677
5,197,Radicar Solicitud Homologacion,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,35,6894
6,197,Traer informacion estudiante - banner,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,36,6894
7,0,Start,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:26:41.131775652+00:00,37,Start
3,8,Notificacion estudiante cancelacion soli,2016-07-02 01:00:04+00:00,2016-07-02 01:00:04+00:00,38,8916
4,4,End,2016-07-01 10:26:58.920495101+00:00,2016-07-01 10:26:58.920495101+00:00,39,End
5,30,Validar solicitud,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,40,677
6,197,Radicar Solicitud Homologacion,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,41,6894
7,197,Traer informacion estudiante - banner,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:26:41.131775652+00:00,42,6894
3,4,End,2016-07-02 01:00:04+00:00,2016-07-02 01:00:04+00:00,43,End
6,30,Validar solicitud,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,44,677
7,197,Radicar Solicitud Homologacion,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:26:41.131775652+00:00,45,6894
5,30,Homologacion por grupo de cursos,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,46,677
6,30,Homologacion por grupo de cursos,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,47,677
7,30,Validar solicitud,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:26:41.131775652+00:00,48,677
5,4,End,2016-07-02 00:01:07+00:00,2016-07-02 00:01:07+00:00,49,End
6,4,End,2016-07-02 00:13:16.211361864+00:00,2016-07-02 00:13:16.211361864+00:00,50,End
7,30,Homologacion por grupo de cursos,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:26:41.131775652+00:00,51,677
7,2,Revisar curso,2016-07-02 00:26:41.131775652+00:00,2016-07-02 00:27:42.080783104+00:00,52,387
7,208,Evaluacion curso,2016-07-02 00:27:42.080783104+00:00,2016-07-05 00:02:44.677811156+00:00,53,19295
8,0,Start,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,54,Start
7,15,Validacion final,2016-07-05 00:02:44.677811156+00:00,2016-07-05 00:02:44.682912585+00:00,55,1707
8,197,Traer informacion estudiante - banner,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,56,6894
9,0,Start,2016-07-02 05:56:08.010082455+00:00,2016-07-02 05:56:08.010082455+00:00,57,Start
8,197,Radicar Solicitud Homologacion,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,59,6894
9,197,Traer informacion estudiante - banner,2016-07-02 05:56:08.010082455+00:00,2016-07-02 05:56:08.010082455+00:00,60,6894
10,0,Start,2016-07-02 06:10:10.062850009+00:00,2016-07-02 06:10:10.062850009+00:00,61,Start
7,16,Visto Bueno Cierre Proceso,2016-07-05 12:00:00+00:00,2016-07-05 12:00:00+00:00,62,15930
8,30,Validar solicitud,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,63,677
9,197,Radicar Solicitud Homologacion,2016-07-02 05:56:08.010082455+00:00,2016-07-02 05:56:08.010082455+00:00,64,6894
10,197,Traer informacion estudiante - banner,2016-07-02 06:10:10.062850009+00:00,2016-07-02 06:10:10.062850009+00:00,65,6894
11,0,Start,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,66,Start
7,4,End,2016-07-05 12:00:00+00:00,2016-07-05 12:00:00+00:00,67,End
8,30,Homologacion por grupo de cursos,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,68,677
9,30,Validar solicitud,2016-07-02 05:56:08.010082455+00:00,2016-07-02 05:56:08.010082455+00:00,69,677
10,197,Radicar Solicitud Homologacion,2016-07-02 06:10:10.062850009+00:00,2016-07-02 06:10:10.062850009+00:00,70,6894
11,197,Traer informacion estudiante - banner,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,71,6894
12,0,Start,2016-07-02 07:25:02.737027067+00:00,2016-07-02 07:25:02.737027067+00:00,72,Start
8,4,End,2016-07-02 05:41:16.050691064+00:00,2016-07-02 05:41:16.050691064+00:00,73,End
9,30,Homologacion por grupo de cursos,2016-07-02 05:56:08.010082455+00:00,2016-07-02 05:56:08.010082455+00:00,74,677
10,30,Validar solicitud,2016-07-02 06:10:10.062850009+00:00,2016-07-02 06:10:10.062850009+00:00,75,677
11,197,Radicar Solicitud Homologacion,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,76,6894
12,197,Traer informacion estudiante - banner,2016-07-02 07:25:02.737027067+00:00,2016-07-02 07:25:02.737027067+00:00,77,6894
10,30,Revisar curso,2016-07-02 06:10:10.062850009+00:00,2016-07-02 06:10:10.062850009+00:00,78,677
11,8,Cancelar Solicitud,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,79,8916
12,197,Radicar Solicitud Homologacion,2016-07-02 07:25:02.737027067+00:00,2016-07-02 07:25:02.737027067+00:00,80,6894
9,10,Revisar curso,2016-07-02 05:56:08.010082455+00:00,2016-07-03 00:02:33.000000455+00:00,81,669
11,8,Notificacion estudiante cancelacion soli,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,83,8916
12,12,Cancelar Solicitud,2016-07-02 07:25:02.737027067+00:00,2016-07-03 02:23:38.577303858+00:00,84,22491
11,4,End,2016-07-02 07:24:55.975072554+00:00,2016-07-02 07:24:55.975072554+00:00,85,End
13,0,Start,2016-07-02 12:46:28.680353041+00:00,2016-07-02 12:46:28.680353041+00:00,86,Start
12,12,Notificacion estudiante cancelacion soli,2016-07-03 02:23:38.577303858+00:00,2016-07-03 02:23:38.577303858+00:00,88,22491
10,31,Homologacion por grupo de cursos,2016-07-04 12:00:00+00:00,2016-07-04 12:00:00+00:00,89,3445
14,0,Start,2016-07-02 12:59:22.745717828+00:00,2016-07-02 12:59:22.745717828+00:00,90,Start
12,4,End,2016-07-03 02:23:38.577303858+00:00,2016-07-03 02:23:38.577303858+00:00,91,End
9,7,Evaluacion curso,2016-07-04 11:00:00+00:00,2016-07-04 11:06:33.390433871+00:00,92,1343
10,30,Evaluacion curso,2016-07-04 12:00:00+00:00,2016-07-04 12:00:00+00:00,93,677
13,197,Traer informacion estudiante - banner,2016-07-02 12:46:28.680353041+00:00,2016-07-02 12:46:28.680353041+00:00,94,6894
14,197,Traer informacion estudiante - banner,2016-07-02 12:59:22.745717828+00:00,2016-07-02 12:59:22.745717828+00:00,95,6894
15,0,Start,2016-07-02 13:55:28.822062131+00:00,2016-07-02 13:55:28.822062131+00:00,96,Start
10,25,Validar solicitud / pre-homologacion,2016-07-04 12:00:00+00:00,2016-07-04 12:00:00+00:00,97,22404
13,197,Radicar Solicitud Homologacion,2016-07-02 12:46:28.680353041+00:00,2016-07-02 12:46:28.680353041+00:00,98,6894
14,197,Radicar Solicitud Homologacion,2016-07-02 12:59:22.745717828+00:00,2016-07-02 12:59:22.745717828+00:00,99,6894
15,197,Traer informacion estudiante - banner,2016-07-02 13:55:28.822062131+00:00,2016-07-02 13:55:28.822062131+00:00,100,6894
16,0,Start,2016-07-02 13:56:04.682411745+00:00,2016-07-02 13:56:04.682411745+00:00,101,Start
9,25,Validar solicitud / pre-homologacion,2016-07-04 11:06:33.390433871+00:00,2016-07-04 11:06:33.390433871+00:00,102,22404
10,4,End,2016-07-04 12:00:00+00:00,2016-07-04 12:00:00+00:00,103,End
13,14,Cancelar Solicitud,2016-07-02 12:46:28.680353041+00:00,2016-07-03 01:20:49.895053481+00:00,104,8443
14,19,Cancelar Solicitud,2016-07-02 12:59:22.745717828+00:00,2016-07-06 01:18:17.179239561+00:00,105,659
15,197,Radicar Solicitud Homologacion,2016-07-02 13:55:28.822062131+00:00,2016-07-02 13:55:28.822062131+00:00,106,6894
16,197,Traer informacion estudiante - banner,2016-07-02 13:56:04.682411745+00:00,2016-07-02 13:56:04.682411745+00:00,107,6894
17,0,Start,2016-07-02 18:42:10.629118495+00:00,2016-07-02 18:42:10.629118495+00:00,108,Start
