case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,9,Check application form completeness,2023-05-09 08:31:13.935000+00:00,2023-05-09 08:45:19.435533992+00:00,0,Clerk-000007
0,7,AML check,2023-05-09 08:45:19.435533992+00:00,2023-05-09 08:47:37.070372487+00:00,1,AML Investigator-000001
0,3,Appraise property,2023-05-09 08:47:37.070372487+00:00,2023-05-09 08:57:59.809949813+00:00,2,Appraiser-000002
0,4,Check credit history,2023-05-09 08:57:59.809949813+00:00,2023-05-09 09:14:37.600101291+00:00,3,Clerk-000005
1,10,Check application form completeness,2023-05-09 09:01:13.935000+00:00,2023-05-09 09:11:10.236981493+00:00,4,Clerk-000008
0,15,Assess loan risk,2023-05-09 09:14:37.600101291+00:00,2023-05-09 09:34:37.600101291+00:00,5,Loan Officer-000003
1,3,Appraise property,2023-05-09 09:11:10.236981493+00:00,2023-05-09 09:15:29.412607232+00:00,6,Appraiser-000002
2,0,Check application form completeness,2023-05-09 09:31:13.935000+00:00,2023-05-09 10:07:19.123991208+00:00,7,Clerk-000001
0,12,Design loan offer,2023-05-09 09:34:37.600101291+00:00,2023-05-09 09:42:55.961192271+00:00,8,Loan Officer-000002
1,4,Check credit history,2023-05-09 09:15:29.412607232+00:00,2023-05-09 09:20:38.725975443+00:00,9,Clerk-000005
0,17,Approve loan offer,2023-05-09 09:42:55.961192271+00:00,2023-05-09 10:02:55.961192271+00:00,10,Senior Officer-000002
2,5,Return application back to applicant,2023-05-09 10:07:19.123991208+00:00,2023-05-09 10:12:19.123991208+00:00,11,Clerk-000006
1,7,AML check,2023-05-09 09:20:38.725975443+00:00,2023-05-09 09:28:39.456146406+00:00,12,AML Investigator-000001
3,1,Check application form completeness,2023-05-09 10:01:13.935000+00:00,2023-05-09 10:19:04.458897768+00:00,13,Clerk-000003
0,2,Cancel application,2023-05-09 10:02:55.961192271+00:00,2023-05-09 10:07:55.961192271+00:00,14,Clerk-000002
2,18,Applicant completes form,2023-05-09 10:12:19.123991208+00:00,2023-05-09 11:12:19.123991208+00:00,15,Applicant-000001
4,6,Check application form completeness,2023-05-09 10:31:13.935000+00:00,2023-05-09 10:48:21.674462628+00:00,17,Clerk-000004
2,5,Check application form completeness,2023-05-09 11:12:19.123991208+00:00,2023-05-09 11:27:27.404241318+00:00,18,Clerk-000006
1,15,Assess loan risk,2023-05-09 09:34:37.600101291+00:00,2023-05-09 09:54:37.600101291+00:00,19,Loan Officer-000003
3,4,Check credit history,2023-05-09 10:19:04.458897768+00:00,2023-05-09 10:49:40.779196689+00:00,20,Clerk-000005
4,4,Check credit history,2023-05-09 10:48:21.674462628+00:00,2023-05-09 10:55:42.946852237+00:00,21,Clerk-000005
5,9,Check application form completeness,2023-05-09 11:01:13.935000+00:00,2023-05-09 11:15:29.300181139+00:00,22,Clerk-000007
2,8,Appraise property,2023-05-09 11:27:27.404241318+00:00,2023-05-09 12:31:12.961575519+00:00,23,Appraiser-000001
1,12,Design loan offer,2023-05-09 09:54:37.600101291+00:00,2023-05-09 10:00:26.986693697+00:00,24,Loan Officer-000002
3,7,AML check,2023-05-09 10:49:40.779196689+00:00,2023-05-09 11:30:58.035196102+00:00,25,AML Investigator-000001
5,4,Check credit history,2023-05-09 11:15:29.300181139+00:00,2023-05-09 11:38:47.191522124+00:00,27,Clerk-000005
6,10,Check application form completeness,2023-05-09 11:31:13.935000+00:00,2023-05-09 11:50:19.661186325+00:00,28,Clerk-000008
2,13,AML check,2023-05-09 12:31:12.961575519+00:00,2023-05-09 12:54:19.665919739+00:00,29,AML Investigator-000002
3,3,Appraise property,2023-05-09 11:30:58.035196102+00:00,2023-05-09 11:32:42.772227844+00:00,31,Appraiser-000002
6,7,AML check,2023-05-09 11:50:19.661186325+00:00,2023-05-09 11:57:54.107021322+00:00,34,AML Investigator-000001
7,0,Check application form completeness,2023-05-09 12:01:13.935000+00:00,2023-05-09 12:07:56.142723224+00:00,35,Clerk-000001
2,6,Check credit history,2023-05-09 12:54:19.665919739+00:00,2023-05-09 12:54:27.417200804+00:00,36,Clerk-000004
1,17,Approve loan offer,2023-05-09 10:02:55.961192271+00:00,2023-05-09 10:22:55.961192271+00:00,37,Senior Officer-000002
3,11,Assess loan risk,2023-05-09 11:32:42.772227844+00:00,2023-05-09 11:52:42.772227844+00:00,38,Loan Officer-000001
6,3,Appraise property,2023-05-09 11:57:54.107021322+00:00,2023-05-09 11:58:03.436536592+00:00,39,Appraiser-000002
4,8,Appraise property,2023-05-09 12:31:12.961575519+00:00,2023-05-09 12:56:14.552633246+00:00,41,Appraiser-000001
8,2,Check application form completeness,2023-05-09 12:31:13.935000+00:00,2023-05-09 12:49:24.865433456+00:00,43,Clerk-000002
2,15,Assess loan risk,2023-05-09 12:54:27.417200804+00:00,2023-05-09 13:14:27.417200804+00:00,44,Loan Officer-000003
1,2,Cancel application,2023-05-09 10:22:55.961192271+00:00,2023-05-09 10:27:55.961192271+00:00,45,Clerk-000002
3,12,Design loan offer,2023-05-09 11:52:42.772227844+00:00,2023-05-09 11:58:06.068634893+00:00,46,Loan Officer-000002
6,4,Check credit history,2023-05-09 11:58:03.436536592+00:00,2023-05-09 12:26:31.784380042+00:00,47,Clerk-000005
7,4,Check credit history,2023-05-09 12:31:12.961575519+00:00,2023-05-09 12:58:27.038040802+00:00,48,Clerk-000005
8,7,AML check,2023-05-09 12:49:24.865433456+00:00,2023-05-09 12:50:55.835902164+00:00,49,AML Investigator-000001
4,13,AML check,2023-05-09 12:56:14.552633246+00:00,2023-05-09 12:57:07.818069174+00:00,50,AML Investigator-000002
5,7,AML check,2023-05-09 12:56:14.552633246+00:00,2023-05-09 13:19:06.947147329+00:00,51,AML Investigator-000001
9,1,Check application form completeness,2023-05-09 13:01:13.935000+00:00,2023-05-09 13:20:14.188339373+00:00,52,Clerk-000003
2,4,Reject application,2023-05-09 13:14:27.417200804+00:00,2023-05-09 13:24:27.417200804+00:00,53,Clerk-000005
6,15,Assess loan risk,2023-05-09 12:26:31.784380042+00:00,2023-05-09 12:46:31.784380042+00:00,54,Loan Officer-000003
8,2,Check credit history,2023-05-09 12:50:55.835902164+00:00,2023-05-09 14:02:49.366577064+00:00,55,Clerk-000002
5,3,Appraise property,2023-05-09 13:19:06.947147329+00:00,2023-05-09 13:37:31.423443060+00:00,58,Appraiser-000002
3,17,Approve loan offer,2023-05-09 11:58:06.068634893+00:00,2023-05-09 12:18:06.068634893+00:00,60,Senior Officer-000002
6,4,Reject application,2023-05-09 12:46:31.784380042+00:00,2023-05-09 12:56:31.784380042+00:00,61,Clerk-000005
4,15,Assess loan risk,2023-05-09 13:14:27.417200804+00:00,2023-05-09 13:34:27.417200804+00:00,62,Loan Officer-000003
7,7,AML check,2023-05-09 13:19:06.947147329+00:00,2023-05-09 14:08:34.545033704+00:00,63,AML Investigator-000001
10,9,Check application form completeness,2023-05-09 13:31:13.935000+00:00,2023-05-09 13:41:10.361259288+00:00,64,Clerk-000007
5,11,Assess loan risk,2023-05-09 13:37:31.423443060+00:00,2023-05-09 13:57:31.423443060+00:00,65,Loan Officer-000001
9,4,Check credit history,2023-05-09 13:37:31.423443060+00:00,2023-05-09 15:37:07.034824691+00:00,66,Clerk-000005
8,3,Appraise property,2023-05-09 14:02:49.366577064+00:00,2023-05-09 14:16:48.650853013+00:00,67,Appraiser-000002
3,4,Approve application,2023-05-09 12:18:06.068634893+00:00,2023-05-09 12:23:06.068634893+00:00,68,Clerk-000005
10,2,Return application back to applicant,2023-05-09 13:41:10.361259288+00:00,2023-05-09 13:46:10.361259288+00:00,69,Clerk-000002
5,12,Design loan offer,2023-05-09 13:57:31.423443060+00:00,2023-05-09 14:07:22.736329868+00:00,70,Loan Officer-000002
11,5,Check application form completeness,2023-05-09 14:01:13.935000+00:00,2023-05-09 14:11:25.980162131+00:00,71,Clerk-000006
8,11,Assess loan risk,2023-05-09 14:16:48.650853013+00:00,2023-05-09 14:36:48.650853013+00:00,73,Loan Officer-000001
9,8,Appraise property,2023-05-09 15:37:07.034824691+00:00,2023-05-10 07:00:19.869124104+00:00,74,Appraiser-000001
10,18,Applicant completes form,2023-05-09 13:46:10.361259288+00:00,2023-05-10 08:00:00.000000288+00:00,75,Applicant-000001
5,17,Approve loan offer,2023-05-09 14:07:22.736329868+00:00,2023-05-09 14:27:22.736329868+00:00,76,Senior Officer-000002
11,7,AML check,2023-05-09 14:11:25.980162131+00:00,2023-05-09 14:38:55.732967574+00:00,77,AML Investigator-000001
7,3,Appraise property,2023-05-09 14:16:48.650853013+00:00,2023-05-09 14:32:23.964657492+00:00,78,Appraiser-000002
12,10,Check application form completeness,2023-05-09 14:31:13.935000+00:00,2023-05-09 15:13:09.495949481+00:00,79,Clerk-000008
8,10,Reject application,2023-05-09 14:36:48.650853013+00:00,2023-05-09 14:46:48.650853013+00:00,80,Clerk-000008
9,13,AML check,2023-05-10 07:00:19.869124104+00:00,2023-05-10 07:29:23.726681757+00:00,81,AML Investigator-000002
4,4,Reject application,2023-05-09 13:34:27.417200804+00:00,2023-05-09 13:44:27.417200804+00:00,82,Clerk-000005
5,2,Cancel application,2023-05-09 14:27:22.736329868+00:00,2023-05-09 14:32:22.736329868+00:00,83,Clerk-000002
11,2,Check credit history,2023-05-09 14:38:55.732967574+00:00,2023-05-09 15:07:15.794347145+00:00,85,Clerk-000002
9,15,Assess loan risk,2023-05-10 07:29:23.726681757+00:00,2023-05-10 07:49:23.726681757+00:00,86,Loan Officer-000003
10,5,Check application form completeness,2023-05-10 08:00:00.000000288+00:00,2023-05-10 08:12:40.925945553+00:00,87,Clerk-000006
7,11,Assess loan risk,2023-05-09 14:36:48.650853013+00:00,2023-05-09 14:56:48.650853013+00:00,88,Loan Officer-000001
11,3,Appraise property,2023-05-09 15:07:15.794347145+00:00,2023-05-10 07:16:29.566903016+00:00,89,Appraiser-000002
12,2,Return application back to applicant,2023-05-09 15:13:09.495949481+00:00,2023-05-09 15:18:09.495949481+00:00,90,Clerk-000002
13,0,Check application form completeness,2023-05-10 07:30:00+00:00,2023-05-10 07:34:33.448440073+00:00,91,Clerk-000001
9,4,Reject application,2023-05-10 07:49:23.726681757+00:00,2023-05-10 07:59:23.726681757+00:00,92,Clerk-000005
10,4,Check credit history,2023-05-10 08:12:40.925945553+00:00,2023-05-10 08:17:14.679141025+00:00,93,Clerk-000005
11,11,Assess loan risk,2023-05-10 07:16:29.566903016+00:00,2023-05-10 07:36:29.566903016+00:00,95,Loan Officer-000001
13,4,Check credit history,2023-05-10 07:34:33.448440073+00:00,2023-05-10 09:40:09.334006423+00:00,96,Clerk-000005
10,7,AML check,2023-05-10 08:17:14.679141025+00:00,2023-05-10 09:11:19.294002183+00:00,97,AML Investigator-000001
7,10,Reject application,2023-05-09 14:56:48.650853013+00:00,2023-05-09 15:06:48.650853013+00:00,98,Clerk-000008
11,10,Reject application,2023-05-10 07:36:29.566903016+00:00,2023-05-10 07:46:29.566903016+00:00,99,Clerk-000008
14,6,Check application form completeness,2023-05-10 08:00:00+00:00,2023-05-10 08:05:17.033537406+00:00,100,Clerk-000004
12,18,Applicant completes form,2023-05-10 08:00:00.000000288+00:00,2023-05-10 09:00:00.000000288+00:00,101,Applicant-000001
15,1,Check application form completeness,2023-05-10 08:30:00+00:00,2023-05-10 08:51:37.818813773+00:00,102,Clerk-000003
10,3,Appraise property,2023-05-10 09:11:19.294002183+00:00,2023-05-10 09:42:18.847160665+00:00,103,Appraiser-000002
13,8,Appraise property,2023-05-10 09:40:09.334006423+00:00,2023-05-10 09:57:38.390104981+00:00,104,Appraiser-000001
14,1,Return application back to applicant,2023-05-10 08:05:17.033537406+00:00,2023-05-10 08:10:17.033537406+00:00,105,Clerk-000003
16,9,Check application form completeness,2023-05-10 09:00:00+00:00,2023-05-10 09:10:25.979857146+00:00,107,Clerk-000007
12,5,Check application form completeness,2023-05-10 09:00:00.000000288+00:00,2023-05-10 09:02:32.526505755+00:00,108,Clerk-000006
10,11,Assess loan risk,2023-05-10 09:42:18.847160665+00:00,2023-05-10 10:02:18.847160665+00:00,109,Loan Officer-000001
13,13,AML check,2023-05-10 09:57:38.390104981+00:00,2023-05-10 10:05:04.151180987+00:00,110,AML Investigator-000002
16,4,Check credit history,2023-05-10 09:10:25.979857146+00:00,2023-05-10 09:15:29.654165266+00:00,112,Clerk-000005
17,2,Check application form completeness,2023-05-10 09:30:00+00:00,2023-05-10 09:32:09.107922002+00:00,113,Clerk-000002
15,4,Check credit history,2023-05-10 09:42:18.847160665+00:00,2023-05-10 10:18:06.515342828+00:00,114,Clerk-000005
10,10,Reject application,2023-05-10 10:02:18.847160665+00:00,2023-05-10 10:12:18.847160665+00:00,115,Clerk-000008
13,15,Assess loan risk,2023-05-10 10:05:04.151180987+00:00,2023-05-10 10:25:04.151180987+00:00,116,Loan Officer-000003
12,4,Check credit history,2023-05-10 09:11:19.294002183+00:00,2023-05-10 10:10:07.340407671+00:00,118,Clerk-000005
16,7,AML check,2023-05-10 09:15:29.654165266+00:00,2023-05-10 10:51:44.616148008+00:00,119,AML Investigator-000001
17,9,Check credit history,2023-05-10 09:32:09.107922002+00:00,2023-05-10 09:37:50.471020023+00:00,120,Clerk-000007
18,0,Check application form completeness,2023-05-10 10:00:00+00:00,2023-05-10 10:08:17.932160212+00:00,121,Clerk-000001
13,4,Reject application,2023-05-10 10:25:04.151180987+00:00,2023-05-10 10:35:04.151180987+00:00,122,Clerk-000005
14,18,Applicant completes form,2023-05-10 09:00:00.000000288+00:00,2023-05-10 10:00:00.000000288+00:00,123,Applicant-000001
