case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,5,Check application form completeness,2023-05-09 08:31:13.935000+00:00,2023-05-09 08:35:25.879718735+00:00,0,Clerk-000006
0,4,Check credit history,2023-05-09 08:35:25.879718735+00:00,2023-05-09 08:35:52.958796191+00:00,1,Clerk-000005
0,7,AML check,2023-05-09 08:35:52.958796191+00:00,2023-05-09 08:39:57.103422230+00:00,2,AML Investigator-000001
0,8,Appraise property,2023-05-09 08:39:57.103422230+00:00,2023-05-09 08:41:39.714714202+00:00,3,Appraiser-000001
0,11,Assess loan risk,2023-05-09 08:41:39.714714202+00:00,2023-05-09 09:01:39.714714202+00:00,4,Loan Officer-000001
1,0,Check application form completeness,2023-05-09 09:01:13.935000+00:00,2023-05-09 10:30:57.656344656+00:00,5,Clerk-000001
0,12,Design loan offer,2023-05-09 09:01:39.714714202+00:00,2023-05-09 09:07:45.363879574+00:00,6,Loan Officer-000002
0,17,Approve loan offer,2023-05-09 09:07:45.363879574+00:00,2023-05-09 09:27:45.363879574+00:00,7,Senior Officer-000002
1,9,Check credit history,2023-05-09 10:30:57.656344656+00:00,2023-05-09 11:00:27.048453752+00:00,8,Clerk-000007
0,6,Cancel application,2023-05-09 09:27:45.363879574+00:00,2023-05-09 09:32:45.363879574+00:00,9,Clerk-000004
2,10,Check application form completeness,2023-05-09 09:31:13.935000+00:00,2023-05-09 09:43:31.680560262+00:00,10,Clerk-000008
1,7,AML check,2023-05-09 11:00:27.048453752+00:00,2023-05-09 11:01:47.353341222+00:00,11,AML Investigator-000001
3,2,Check application form completeness,2023-05-09 10:01:13.935000+00:00,2023-05-09 10:29:59.969315032+00:00,12,Clerk-000002
1,8,Appraise property,2023-05-09 11:01:47.353341222+00:00,2023-05-09 11:37:17.821894153+00:00,13,Appraiser-000001
2,4,Check credit history,2023-05-09 09:43:31.680560262+00:00,2023-05-09 10:07:06.102956475+00:00,14,Clerk-000005
3,9,Check credit history,2023-05-09 10:29:59.969315032+00:00,2023-05-09 10:38:01.503901130+00:00,15,Clerk-000007
4,1,Check application form completeness,2023-05-09 10:31:13.935000+00:00,2023-05-09 10:39:44.295879549+00:00,16,Clerk-000003
1,11,Assess loan risk,2023-05-09 11:37:17.821894153+00:00,2023-05-09 11:57:17.821894153+00:00,17,Loan Officer-000001
2,8,Appraise property,2023-05-09 10:07:06.102956475+00:00,2023-05-09 10:41:32.549591089+00:00,18,Appraiser-000001
3,3,Appraise property,2023-05-09 10:38:01.503901130+00:00,2023-05-09 11:26:25.150133808+00:00,19,Appraiser-000002
4,4,Check credit history,2023-05-09 10:39:44.295879549+00:00,2023-05-09 11:00:24.041084627+00:00,20,Clerk-000005
5,5,Check application form completeness,2023-05-09 11:01:13.935000+00:00,2023-05-09 11:17:39.418920017+00:00,21,Clerk-000006
1,12,Design loan offer,2023-05-09 11:57:17.821894153+00:00,2023-05-09 12:23:29.876249976+00:00,22,Loan Officer-000002
2,13,AML check,2023-05-09 10:41:32.549591089+00:00,2023-05-09 11:32:48.898652621+00:00,23,AML Investigator-000002
5,4,Check credit history,2023-05-09 11:17:39.418920017+00:00,2023-05-09 11:22:53.549279866+00:00,25,Clerk-000005
6,6,Check application form completeness,2023-05-09 11:31:13.935000+00:00,2023-05-09 11:51:52.107909390+00:00,27,Clerk-000004
1,17,Approve loan offer,2023-05-09 12:23:29.876249976+00:00,2023-05-09 12:43:29.876249976+00:00,28,Senior Officer-000002
5,7,AML check,2023-05-09 11:22:53.549279866+00:00,2023-05-09 11:35:56.155130362+00:00,30,AML Investigator-000001
3,13,AML check,2023-05-09 11:32:48.898652621+00:00,2023-05-09 11:53:30.892452616+00:00,32,AML Investigator-000002
7,10,Check application form completeness,2023-05-09 12:01:13.935000+00:00,2023-05-09 12:06:00.648393085+00:00,34,Clerk-000008
