case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,7,Check application form completeness,2023-05-11 14:09:13.902000+00:00,2023-05-11 14:20:50.835187711+00:00,0,Clerk-000006
1,10,Check application form completeness,2023-05-11 14:12:47.909207341+00:00,2023-05-11 14:31:59.807008454+00:00,1,Clerk-000008
0,3,Check credit history,2023-05-11 14:20:50.835187711+00:00,2023-05-11 15:11:42.865652980+00:00,2,Clerk-000004
2,0,Check application form completeness,2023-05-11 14:20:53.545527313+00:00,2023-05-11 14:23:13.328140532+00:00,3,Clerk-000002
1,4,Return application back to applicant,2023-05-11 14:31:59.807008454+00:00,2023-05-11 14:36:59.807008454+00:00,4,Clerk-000003
0,1,AML check,2023-05-11 15:11:42.865652980+00:00,2023-05-12 07:11:01.087358138+00:00,5,AML Investigator-000001
2,10,Check credit history,2023-05-11 14:23:13.328140532+00:00,2023-05-11 14:34:11.473550840+00:00,6,Clerk-000008
3,2,Check application form completeness,2023-05-11 14:30:07.292630204+00:00,2023-05-11 14:39:47.174423969+00:00,7,Clerk-000001
1,8,Applicant completes form,2023-05-11 14:36:59.807008454+00:00,2023-05-12 08:00:00.000000454+00:00,8,Applicant-000001
0,9,Appraise property,2023-05-12 07:11:01.087358138+00:00,2023-05-12 07:21:09.661466038+00:00,9,Appraiser-000002
2,9,Appraise property,2023-05-11 14:34:11.473550840+00:00,2023-05-11 14:39:10.032049907+00:00,10,Appraiser-000002
3,3,Check credit history,2023-05-11 14:39:47.174423969+00:00,2023-05-11 15:05:51.293913037+00:00,11,Clerk-000004
4,5,Check application form completeness,2023-05-12 07:09:17+00:00,2023-05-12 07:17:34.426265335+00:00,12,Clerk-000005
0,14,Assess loan risk,2023-05-12 07:21:09.661466038+00:00,2023-05-12 07:41:09.661466038+00:00,13,Loan Officer-000003
1,2,Check application form completeness,2023-05-12 08:00:00.000000454+00:00,2023-05-12 08:00:24.559139861+00:00,14,Clerk-000001
4,3,Check credit history,2023-05-12 07:17:34.426265335+00:00,2023-05-12 07:22:21.571603316+00:00,17,Clerk-000004
5,6,Check application form completeness,2023-05-12 07:22:03.071669203+00:00,2023-05-12 07:29:09.644066343+00:00,18,Clerk-000007
0,16,Design loan offer,2023-05-12 07:41:09.661466038+00:00,2023-05-12 07:47:21.581501796+00:00,19,Loan Officer-000004
1,3,Check credit history,2023-05-12 08:00:24.559139861+00:00,2023-05-12 08:20:30.218712793+00:00,20,Clerk-000004
2,1,AML check,2023-05-12 07:11:01.087358138+00:00,2023-05-12 08:15:53.775267664+00:00,21,AML Investigator-000001
5,10,Check credit history,2023-05-12 07:29:09.644066343+00:00,2023-05-12 07:32:59.939156024+00:00,24,Clerk-000008
0,18,Approve loan offer,2023-05-12 07:47:21.581501796+00:00,2023-05-12 08:07:21.581501796+00:00,25,Senior Officer-000002
6,7,Check application form completeness,2023-05-12 08:14:05.926401312+00:00,2023-05-12 08:25:39.591225287+00:00,26,Clerk-000006
1,1,AML check,2023-05-12 08:20:30.218712793+00:00,2023-05-12 08:36:22.634661898+00:00,27,AML Investigator-000001
3,9,Appraise property,2023-05-12 07:21:09.661466038+00:00,2023-05-12 07:57:46.970512070+00:00,28,Appraiser-000002
0,6,Cancel application,2023-05-12 08:07:21.581501796+00:00,2023-05-12 08:12:21.581501796+00:00,30,Clerk-000007
2,15,Assess loan risk,2023-05-12 08:15:53.775267664+00:00,2023-05-12 08:35:53.775267664+00:00,31,Loan Officer-000002
4,9,Appraise property,2023-05-12 08:15:53.775267664+00:00,2023-05-12 09:24:49.941737492+00:00,32,Appraiser-000002
6,3,Check credit history,2023-05-12 08:25:39.591225287+00:00,2023-05-12 09:01:41.553236633+00:00,33,Clerk-000004
7,0,Check application form completeness,2023-05-12 08:31:08.403692372+00:00,2023-05-12 08:33:55.115428326+00:00,34,Clerk-000002
2,16,Design loan offer,2023-05-12 08:35:53.775267664+00:00,2023-05-12 08:46:28.990245791+00:00,38,Loan Officer-000004
8,4,Check application form completeness,2023-05-12 08:54:56.265030593+00:00,2023-05-12 09:52:38.901161301+00:00,39,Clerk-000003
6,1,AML check,2023-05-12 09:01:41.553236633+00:00,2023-05-12 10:25:34.815062007+00:00,40,AML Investigator-000001
1,9,Appraise property,2023-05-12 09:24:49.941737492+00:00,2023-05-12 10:45:27.841921535+00:00,42,Appraiser-000002
7,12,Appraise property,2023-05-12 08:33:55.115428326+00:00,2023-05-12 08:40:11.580881197+00:00,44,Appraiser-000001
2,18,Approve loan offer,2023-05-12 08:46:28.990245791+00:00,2023-05-12 09:06:28.990245791+00:00,45,Senior Officer-000002
9,5,Check application form completeness,2023-05-12 08:56:29.601458724+00:00,2023-05-12 09:09:41.679111289+00:00,46,Clerk-000005
8,0,Check credit history,2023-05-12 09:52:38.901161301+00:00,2023-05-12 10:15:37.306578012+00:00,48,Clerk-000002
4,1,AML check,2023-05-12 10:25:34.815062007+00:00,2023-05-12 10:38:16.646484188+00:00,50,AML Investigator-000001
1,14,Assess loan risk,2023-05-12 10:45:27.841921535+00:00,2023-05-12 11:05:27.841921535+00:00,51,Loan Officer-000003
7,10,Check credit history,2023-05-12 08:40:11.580881197+00:00,2023-05-12 08:48:58.451748772+00:00,53,Clerk-000008
2,6,Cancel application,2023-05-12 09:06:28.990245791+00:00,2023-05-12 09:11:28.990245791+00:00,54,Clerk-000007
9,6,Return application back to applicant,2023-05-12 09:09:41.679111289+00:00,2023-05-12 09:14:41.679111289+00:00,55,Clerk-000007
8,12,Appraise property,2023-05-12 10:15:37.306578012+00:00,2023-05-12 10:18:45.259953193+00:00,56,Appraiser-000001
10,2,Check application form completeness,2023-05-12 10:17:34.905475082+00:00,2023-05-12 10:25:05.543471210+00:00,57,Clerk-000001
4,15,Assess loan risk,2023-05-12 10:38:16.646484188+00:00,2023-05-12 10:58:16.646484188+00:00,58,Loan Officer-000002
5,9,Appraise property,2023-05-12 10:45:27.841921535+00:00,2023-05-12 10:51:19.093752905+00:00,59,Appraiser-000002
1,16,Design loan offer,2023-05-12 11:05:27.841921535+00:00,2023-05-12 11:16:07.122157198+00:00,61,Loan Officer-000004
8,11,AML check,2023-05-12 10:18:45.259953193+00:00,2023-05-12 10:34:45.449595202+00:00,63,AML Investigator-000002
10,10,Return application back to applicant,2023-05-12 10:25:05.543471210+00:00,2023-05-12 10:30:05.543471210+00:00,64,Clerk-000008
11,7,Check application form completeness,2023-05-12 10:25:41.410040006+00:00,2023-05-12 10:48:28.467897865+00:00,66,Clerk-000006
5,1,AML check,2023-05-12 10:51:19.093752905+00:00,2023-05-12 10:59:43.390598792+00:00,67,AML Investigator-000001
6,9,Appraise property,2023-05-12 10:51:19.093752905+00:00,2023-05-12 10:56:21.763988443+00:00,68,Appraiser-000002
4,3,Reject application,2023-05-12 10:58:16.646484188+00:00,2023-05-12 11:08:16.646484188+00:00,69,Clerk-000004
1,18,Approve loan offer,2023-05-12 11:16:07.122157198+00:00,2023-05-12 11:36:07.122157198+00:00,70,Senior Officer-000002
9,8,Applicant completes form,2023-05-12 09:14:41.679111289+00:00,2023-05-12 10:14:41.679111289+00:00,71,Applicant-000001
10,8,Applicant completes form,2023-05-12 10:30:05.543471210+00:00,2023-05-12 11:30:05.543471210+00:00,73,Applicant-000001
