case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,3,Check application form completeness,2023-05-11 14:09:13.902000+00:00,2023-05-11 16:13:56.508030279+00:00,0,Clerk-000004
1,2,Check application form completeness,2023-05-11 14:28:54.538260504+00:00,2023-05-11 15:12:07.438804687+00:00,1,Clerk-000001
0,7,Return application back to applicant,2023-05-11 16:13:56.508030279+00:00,2023-05-11 16:18:56.508030279+00:00,2,Clerk-000006
2,4,Check application form completeness,2023-05-11 14:34:53.613099705+00:00,2023-05-11 14:37:45.833751177+00:00,3,Clerk-000003
1,4,Check credit history,2023-05-11 15:12:07.438804687+00:00,2023-05-11 15:23:32.801371722+00:00,4,Clerk-000003
0,8,Applicant completes form,2023-05-11 16:18:56.508030279+00:00,2023-05-12 08:00:00.000000279+00:00,5,Applicant-000001
2,0,Check credit history,2023-05-11 14:37:45.833751177+00:00,2023-05-11 15:29:30.810012880+00:00,6,Clerk-000002
3,5,Check application form completeness,2023-05-11 14:56:09.236488048+00:00,2023-05-11 15:17:55.316987473+00:00,7,Clerk-000005
1,1,AML check,2023-05-11 15:23:32.801371722+00:00,2023-05-12 07:06:43.333404930+00:00,8,AML Investigator-000001
0,4,Check application form completeness,2023-05-12 08:00:00.000000279+00:00,2023-05-12 08:15:28.981908198+00:00,9,Clerk-000003
3,6,Check credit history,2023-05-11 15:17:55.316987473+00:00,2023-05-11 15:20:14.405139552+00:00,10,Clerk-000007
1,12,Appraise property,2023-05-12 07:06:43.333404930+00:00,2023-05-12 08:11:15.000656432+00:00,12,Appraiser-000001
4,10,Check application form completeness,2023-05-12 07:09:17+00:00,2023-05-12 07:24:35.460013293+00:00,13,Clerk-000008
0,0,Check credit history,2023-05-12 08:15:28.981908198+00:00,2023-05-12 10:17:21.120721406+00:00,14,Clerk-000002
3,12,Appraise property,2023-05-11 15:20:14.405139552+00:00,2023-05-12 07:21:03.025387469+00:00,15,Appraiser-000001
2,9,Appraise property,2023-05-12 07:06:43.333404930+00:00,2023-05-12 07:19:08.737717565+00:00,16,Appraiser-000002
4,11,AML check,2023-05-12 07:24:35.460013293+00:00,2023-05-12 07:44:15.961547973+00:00,17,AML Investigator-000002
5,2,Check application form completeness,2023-05-12 07:45:33.287027583+00:00,2023-05-12 07:55:57.443891436+00:00,18,Clerk-000001
1,14,Assess loan risk,2023-05-12 08:11:15.000656432+00:00,2023-05-12 08:31:15.000656432+00:00,19,Loan Officer-000003
0,9,Appraise property,2023-05-12 10:17:21.120721406+00:00,2023-05-12 11:04:58.449170146+00:00,20,Appraiser-000002
2,1,AML check,2023-05-12 07:19:08.737717565+00:00,2023-05-12 08:04:32.365468684+00:00,21,AML Investigator-000001
4,6,Check credit history,2023-05-12 07:44:15.961547973+00:00,2023-05-12 08:07:35.066274863+00:00,23,Clerk-000007
5,9,Appraise property,2023-05-12 07:55:57.443891436+00:00,2023-05-12 10:00:55.713724779+00:00,24,Appraiser-000002
6,5,Check application form completeness,2023-05-12 08:07:05.459271921+00:00,2023-05-12 08:10:12.395546168+00:00,25,Clerk-000005
1,15,Design loan offer,2023-05-12 08:31:15.000656432+00:00,2023-05-12 08:38:11.570697546+00:00,26,Loan Officer-000002
0,1,AML check,2023-05-12 11:04:58.449170146+00:00,2023-05-12 11:20:58.742604410+00:00,27,AML Investigator-000001
3,11,AML check,2023-05-12 07:44:15.961547973+00:00,2023-05-12 10:47:25.025581270+00:00,28,AML Investigator-000002
2,15,Assess loan risk,2023-05-12 08:04:32.365468684+00:00,2023-05-12 08:24:32.365468684+00:00,29,Loan Officer-000002
7,3,Check application form completeness,2023-05-12 08:07:59.896351027+00:00,2023-05-12 08:21:58.665527424+00:00,31,Clerk-000004
6,10,Return application back to applicant,2023-05-12 08:10:12.395546168+00:00,2023-05-12 08:15:12.395546168+00:00,32,Clerk-000008
1,18,Approve loan offer,2023-05-12 08:38:11.570697546+00:00,2023-05-12 08:58:11.570697546+00:00,33,Senior Officer-000002
5,6,Check credit history,2023-05-12 10:00:55.713724779+00:00,2023-05-12 10:20:19.414715124+00:00,34,Clerk-000007
0,15,Assess loan risk,2023-05-12 11:20:58.742604410+00:00,2023-05-12 11:40:58.742604410+00:00,35,Loan Officer-000002
4,12,Appraise property,2023-05-12 08:11:15.000656432+00:00,2023-05-12 09:25:41.268831090+00:00,36,Appraiser-000001
6,8,Applicant completes form,2023-05-12 08:15:12.395546168+00:00,2023-05-12 09:15:12.395546168+00:00,37,Applicant-000001
2,14,Design loan offer,2023-05-12 08:24:32.365468684+00:00,2023-05-12 08:38:20.868368157+00:00,39,Loan Officer-000003
1,4,Approve application,2023-05-12 08:58:11.570697546+00:00,2023-05-12 09:03:11.570697546+00:00,40,Clerk-000003
8,7,Check application form completeness,2023-05-12 10:00:03.514432534+00:00,2023-05-12 10:56:27.321104142+00:00,41,Clerk-000006
5,1,AML check,2023-05-12 10:20:19.414715124+00:00,2023-05-12 10:36:50.626337845+00:00,42,AML Investigator-000001
3,15,Assess loan risk,2023-05-12 10:47:25.025581270+00:00,2023-05-12 11:07:25.025581270+00:00,43,Loan Officer-000002
0,14,Design loan offer,2023-05-12 11:40:58.742604410+00:00,2023-05-12 11:41:14.517766122+00:00,44,Loan Officer-000003
4,14,Assess loan risk,2023-05-12 09:25:41.268831090+00:00,2023-05-12 09:45:41.268831090+00:00,46,Loan Officer-000003
7,5,Check credit history,2023-05-12 10:00:55.713724779+00:00,2023-05-12 10:26:22.365074388+00:00,47,Clerk-000005
9,2,Check application form completeness,2023-05-12 10:19:20.906577097+00:00,2023-05-12 10:26:40.011044063+00:00,48,Clerk-000001
8,0,Return application back to applicant,2023-05-12 10:56:27.321104142+00:00,2023-05-12 11:01:27.321104142+00:00,50,Clerk-000002
3,14,Design loan offer,2023-05-12 11:07:25.025581270+00:00,2023-05-12 11:08:31.510571671+00:00,51,Loan Officer-000003
0,18,Approve loan offer,2023-05-12 11:41:14.517766122+00:00,2023-05-12 12:01:14.517766122+00:00,52,Senior Officer-000002
2,18,Approve loan offer,2023-05-12 08:58:11.570697546+00:00,2023-05-12 09:18:11.570697546+00:00,53,Senior Officer-000002
6,4,Check application form completeness,2023-05-12 09:15:12.395546168+00:00,2023-05-12 09:22:13.311007832+00:00,54,Clerk-000003
4,15,Design loan offer,2023-05-12 09:45:41.268831090+00:00,2023-05-12 10:16:58.504197559+00:00,55,Loan Officer-000002
9,0,Return application back to applicant,2023-05-12 10:26:40.011044063+00:00,2023-05-12 10:31:40.011044063+00:00,57,Clerk-000002
10,10,Check application form completeness,2023-05-12 10:51:33.451314930+00:00,2023-05-12 11:30:05.209784823+00:00,58,Clerk-000008
8,8,Applicant completes form,2023-05-12 11:01:27.321104142+00:00,2023-05-12 12:01:27.321104142+00:00,59,Applicant-000001
3,18,Approve loan offer,2023-05-12 11:08:31.510571671+00:00,2023-05-12 11:28:31.510571671+00:00,61,Senior Officer-000002
0,3,Cancel application,2023-05-12 12:01:14.517766122+00:00,2023-05-12 12:06:14.517766122+00:00,62,Clerk-000004
2,3,Cancel application,2023-05-12 09:18:11.570697546+00:00,2023-05-12 09:23:11.570697546+00:00,63,Clerk-000004
6,0,Check credit history,2023-05-12 09:22:13.311007832+00:00,2023-05-12 09:42:38.821604294+00:00,64,Clerk-000002
4,18,Approve loan offer,2023-05-12 10:16:58.504197559+00:00,2023-05-12 10:36:58.504197559+00:00,65,Senior Officer-000002
11,4,Check application form completeness,2023-05-12 10:58:46.814172723+00:00,2023-05-12 11:28:56.119164793+00:00,68,Clerk-000003
3,3,Cancel application,2023-05-12 11:28:31.510571671+00:00,2023-05-12 11:33:31.510571671+00:00,69,Clerk-000004
