case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,5,Check application form completeness,2023-05-10 07:46:37.402000+00:00,2023-05-10 07:58:03.110407359+00:00,0,Clerk-000004
0,2,Check credit history,2023-05-10 07:58:03.110407359+00:00,2023-05-10 08:25:25.389823267+00:00,1,Clerk-000003
1,1,Check application form completeness,2023-05-10 08:16:37.402000+00:00,2023-05-10 08:21:42.128021368+00:00,2,Clerk-000002
0,3,AML check,2023-05-10 08:25:25.389823267+00:00,2023-05-10 08:37:04.023694854+00:00,3,AML Investigator-000001
0,6,Appraise property,2023-05-10 08:37:04.023694854+00:00,2023-05-10 09:04:18.518661153+00:00,5,Appraiser-000001
1,1,Check credit history,2023-05-10 08:25:25.389823267+00:00,2023-05-10 08:47:50.330758698+00:00,6,Clerk-000002
2,0,Check application form completeness,2023-05-10 08:46:37.402000+00:00,2023-05-10 09:16:28.551903886+00:00,7,Clerk-000001
0,8,Assess loan risk,2023-05-10 09:04:18.518661153+00:00,2023-05-10 09:24:18.518661153+00:00,8,Loan Officer-000002
1,3,AML check,2023-05-10 08:47:50.330758698+00:00,2023-05-10 09:15:27.285344182+00:00,9,AML Investigator-000001
2,2,Check credit history,2023-05-10 09:16:28.551903886+00:00,2023-05-10 09:18:31.865963889+00:00,10,Clerk-000003
3,5,Check application form completeness,2023-05-10 09:16:37.402000+00:00,2023-05-10 10:37:59.330512524+00:00,11,Clerk-000004
0,7,Design loan offer,2023-05-10 09:24:18.518661153+00:00,2023-05-10 09:31:11.001026533+00:00,12,Loan Officer-000001
1,6,Appraise property,2023-05-10 09:15:27.285344182+00:00,2023-05-10 09:42:36.273179679+00:00,13,Appraiser-000001
2,3,AML check,2023-05-10 09:18:31.865963889+00:00,2023-05-10 09:40:18.209338847+00:00,14,AML Investigator-000001
0,9,Approve loan offer,2023-05-10 09:31:11.001026533+00:00,2023-05-10 09:51:11.001026533+00:00,15,Senior Officer-000001
3,2,Check credit history,2023-05-10 10:37:59.330512524+00:00,2023-05-10 11:08:31.921278379+00:00,16,Clerk-000003
1,8,Assess loan risk,2023-05-10 09:42:36.273179679+00:00,2023-05-10 10:02:36.273179679+00:00,18,Loan Officer-000002
4,1,Check application form completeness,2023-05-10 09:46:37.402000+00:00,2023-05-10 10:14:12.773994724+00:00,19,Clerk-000002
3,3,AML check,2023-05-10 11:08:31.921278379+00:00,2023-05-10 11:24:18.702561437+00:00,21,AML Investigator-000001
2,6,Appraise property,2023-05-10 09:42:36.273179679+00:00,2023-05-10 09:58:12.508016836+00:00,22,Appraiser-000001
1,7,Design loan offer,2023-05-10 10:02:36.273179679+00:00,2023-05-10 10:07:56.026578095+00:00,23,Loan Officer-000001
4,1,Check credit history,2023-05-10 10:14:12.773994724+00:00,2023-05-10 10:58:21.898728999+00:00,24,Clerk-000002
5,0,Check application form completeness,2023-05-10 10:16:37.402000+00:00,2023-05-10 11:21:21.060829067+00:00,26,Clerk-000001
3,6,Appraise property,2023-05-10 11:24:18.702561437+00:00,2023-05-10 11:48:41.566891528+00:00,27,Appraiser-000001
1,9,Approve loan offer,2023-05-10 10:07:56.026578095+00:00,2023-05-10 10:27:56.026578095+00:00,29,Senior Officer-000001
6,5,Check application form completeness,2023-05-10 10:46:37.402000+00:00,2023-05-10 10:54:49.127710484+00:00,30,Clerk-000004
5,2,Check credit history,2023-05-10 11:21:21.060829067+00:00,2023-05-10 11:55:17.111324065+00:00,33,Clerk-000003
3,8,Assess loan risk,2023-05-10 11:48:41.566891528+00:00,2023-05-10 12:08:41.566891528+00:00,34,Loan Officer-000002
2,8,Assess loan risk,2023-05-10 10:02:36.273179679+00:00,2023-05-10 10:22:36.273179679+00:00,35,Loan Officer-000002
0,1,Cancel application,2023-05-10 11:08:31.921278379+00:00,2023-05-10 11:13:31.921278379+00:00,38,Clerk-000002
7,5,Check application form completeness,2023-05-10 11:16:37.402000+00:00,2023-05-10 11:31:57.101721525+00:00,39,Clerk-000004
4,3,AML check,2023-05-10 11:24:18.702561437+00:00,2023-05-10 11:58:43.604915976+00:00,40,AML Investigator-000001
5,6,Appraise property,2023-05-10 11:55:17.111324065+00:00,2023-05-10 13:33:33.246476749+00:00,41,Appraiser-000001
3,7,Design loan offer,2023-05-10 12:08:41.566891528+00:00,2023-05-10 12:40:50.933493724+00:00,42,Loan Officer-000001
2,7,Design loan offer,2023-05-10 10:22:36.273179679+00:00,2023-05-10 10:30:19.669517103+00:00,43,Loan Officer-000001
8,1,Check application form completeness,2023-05-10 11:46:37.402000+00:00,2023-05-10 11:54:08.221155263+00:00,46,Clerk-000002
3,9,Approve loan offer,2023-05-10 12:40:50.933493724+00:00,2023-05-10 13:00:50.933493724+00:00,48,Senior Officer-000001
5,3,AML check,2023-05-10 13:33:33.246476749+00:00,2023-05-10 14:05:16.294181617+00:00,49,AML Investigator-000001
2,9,Approve loan offer,2023-05-10 10:30:19.669517103+00:00,2023-05-10 10:50:19.669517103+00:00,50,Senior Officer-000001
8,1,Check credit history,2023-05-10 11:54:08.221155263+00:00,2023-05-10 12:53:13.274823778+00:00,53,Clerk-000002
7,2,Check credit history,2023-05-10 11:55:17.111324065+00:00,2023-05-10 12:02:43.683131663+00:00,54,Clerk-000003
9,0,Check application form completeness,2023-05-10 12:16:37.402000+00:00,2023-05-10 12:21:56.061687023+00:00,55,Clerk-000001
3,1,Cancel application,2023-05-10 13:00:50.933493724+00:00,2023-05-10 13:05:50.933493724+00:00,56,Clerk-000002
4,6,Appraise property,2023-05-10 13:33:33.246476749+00:00,2023-05-10 14:38:31.105226991+00:00,57,Appraiser-000001
5,7,Assess loan risk,2023-05-10 14:05:16.294181617+00:00,2023-05-10 14:25:16.294181617+00:00,58,Loan Officer-000001
1,1,Cancel application,2023-05-10 11:13:31.921278379+00:00,2023-05-10 11:18:31.921278379+00:00,60,Clerk-000002
7,3,AML check,2023-05-10 12:02:43.683131663+00:00,2023-05-10 13:15:10.872969912+00:00,62,AML Investigator-000001
10,1,Check application form completeness,2023-05-10 12:46:37.402000+00:00,2023-05-10 13:13:36.007001483+00:00,64,Clerk-000002
4,8,Assess loan risk,2023-05-10 14:38:31.105226991+00:00,2023-05-10 14:58:31.105226991+00:00,66,Loan Officer-000002
2,1,Cancel application,2023-05-10 10:58:21.898728999+00:00,2023-05-10 11:03:21.898728999+00:00,67,Clerk-000002
10,1,Check credit history,2023-05-10 13:13:36.007001483+00:00,2023-05-10 13:13:37.465348499+00:00,68,Clerk-000002
9,2,Check credit history,2023-05-10 13:15:10.872969912+00:00,2023-05-10 13:26:50.016955610+00:00,70,Clerk-000003
11,5,Check application form completeness,2023-05-10 13:16:37.402000+00:00,2023-05-10 14:00:01.966216844+00:00,72,Clerk-000004
5,8,Design loan offer,2023-05-10 14:25:16.294181617+00:00,2023-05-10 14:27:00.130425463+00:00,73,Loan Officer-000002
4,7,Design loan offer,2023-05-10 14:58:31.105226991+00:00,2023-05-11 07:29:55.988804229+00:00,74,Loan Officer-000001
12,0,Check application form completeness,2023-05-10 13:46:37.402000+00:00,2023-05-10 13:58:17.988018808+00:00,78,Clerk-000001
11,2,Check credit history,2023-05-10 14:00:01.966216844+00:00,2023-05-10 14:39:02.111077328+00:00,79,Clerk-000003
8,3,AML check,2023-05-10 14:05:16.294181617+00:00,2023-05-11 07:13:16.948033776+00:00,80,AML Investigator-000001
5,9,Approve loan offer,2023-05-10 14:27:00.130425463+00:00,2023-05-10 14:47:00.130425463+00:00,81,Senior Officer-000001
4,9,Approve loan offer,2023-05-11 07:29:55.988804229+00:00,2023-05-11 07:49:55.988804229+00:00,82,Senior Officer-000001
6,2,Check credit history,2023-05-10 12:02:43.683131663+00:00,2023-05-10 12:07:56.659209328+00:00,83,Clerk-000003
10,3,AML check,2023-05-10 13:15:10.872969912+00:00,2023-05-10 13:19:06.267429518+00:00,84,AML Investigator-000001
13,2,Check application form completeness,2023-05-10 14:16:37.402000+00:00,2023-05-10 14:36:05.552373681+00:00,87,Clerk-000003
7,6,Appraise property,2023-05-10 14:38:31.105226991+00:00,2023-05-10 14:50:22.290314892+00:00,88,Appraiser-000001
5,1,Cancel application,2023-05-10 14:47:00.130425463+00:00,2023-05-10 14:52:00.130425463+00:00,90,Clerk-000002
8,6,Appraise property,2023-05-11 07:13:16.948033776+00:00,2023-05-11 07:47:40.136287674+00:00,91,Appraiser-000001
4,1,Cancel application,2023-05-11 07:49:55.988804229+00:00,2023-05-11 07:54:55.988804229+00:00,92,Clerk-000002
13,0,Return application back to applicant,2023-05-10 14:36:05.552373681+00:00,2023-05-10 14:41:05.552373681+00:00,95,Clerk-000001
12,2,Check credit history,2023-05-10 14:39:02.111077328+00:00,2023-05-10 14:54:18.280780597+00:00,96,Clerk-000003
14,5,Check application form completeness,2023-05-10 14:46:37.402000+00:00,2023-05-10 15:11:05.149318478+00:00,97,Clerk-000004
11,3,AML check,2023-05-11 07:13:16.948033776+00:00,2023-05-11 07:23:52.601848847+00:00,99,AML Investigator-000001
8,8,Assess loan risk,2023-05-11 07:47:40.136287674+00:00,2023-05-11 08:07:40.136287674+00:00,100,Loan Officer-000002
13,4,Applicant completes form,2023-05-10 14:41:05.552373681+00:00,2023-05-11 07:41:05.552373681+00:00,103,Applicant-000001
7,8,Assess loan risk,2023-05-10 14:58:31.105226991+00:00,2023-05-11 07:18:31.105226991+00:00,105,Loan Officer-000002
14,2,Check credit history,2023-05-10 15:11:05.149318478+00:00,2023-05-11 07:04:31.420428099+00:00,106,Clerk-000003
15,0,Check application form completeness,2023-05-11 07:30:00+00:00,2023-05-11 07:48:35.760299772+00:00,109,Clerk-000001
8,7,Design loan offer,2023-05-11 08:07:40.136287674+00:00,2023-05-11 08:11:01.509812117+00:00,110,Loan Officer-000001
9,3,AML check,2023-05-11 07:23:52.601848847+00:00,2023-05-11 07:32:28.898048579+00:00,116,AML Investigator-000001
13,2,Check application form completeness,2023-05-11 07:41:05.552373681+00:00,2023-05-11 07:59:56.215192171+00:00,117,Clerk-000003
11,6,Appraise property,2023-05-11 07:47:40.136287674+00:00,2023-05-11 07:52:04.270542293+00:00,118,Appraiser-000001
16,5,Check application form completeness,2023-05-11 08:00:00+00:00,2023-05-11 08:01:35.815146534+00:00,120,Clerk-000004
8,9,Approve loan offer,2023-05-11 08:11:01.509812117+00:00,2023-05-11 08:31:01.509812117+00:00,121,Senior Officer-000001
10,6,Appraise property,2023-05-10 14:50:22.290314892+00:00,2023-05-10 14:52:28.803773072+00:00,123,Appraiser-000001
7,5,Reject application,2023-05-11 07:29:55.988804229+00:00,2023-05-11 07:39:55.988804229+00:00,126,Clerk-000004
13,0,Check credit history,2023-05-11 07:59:56.215192171+00:00,2023-05-11 08:11:48.361913363+00:00,129,Clerk-000001
15,3,AML check,2023-05-11 07:59:56.215192171+00:00,2023-05-11 08:27:48.649886461+00:00,130,AML Investigator-000001
16,2,Check credit history,2023-05-11 08:01:35.815146534+00:00,2023-05-11 09:16:07.782536599+00:00,131,Clerk-000003
17,5,Check application form completeness,2023-05-11 08:30:00+00:00,2023-05-11 08:52:04.268441144+00:00,132,Clerk-000004
12,3,AML check,2023-05-11 07:32:28.898048579+00:00,2023-05-11 07:46:16.342283204+00:00,137,AML Investigator-000001
11,8,Assess loan risk,2023-05-11 08:07:40.136287674+00:00,2023-05-11 08:27:40.136287674+00:00,138,Loan Officer-000002
15,0,Check credit history,2023-05-11 08:27:48.649886461+00:00,2023-05-11 09:26:54.240890603+00:00,140,Clerk-000001
18,1,Check application form completeness,2023-05-11 09:00:00+00:00,2023-05-11 09:06:21.997016805+00:00,142,Clerk-000002
16,3,AML check,2023-05-11 09:16:07.782536599+00:00,2023-05-11 09:19:52.415848940+00:00,143,AML Investigator-000001
8,1,Cancel application,2023-05-11 09:16:07.782536599+00:00,2023-05-11 09:21:07.782536599+00:00,144,Clerk-000002
11,7,Design loan offer,2023-05-11 08:27:40.136287674+00:00,2023-05-11 08:34:15.156596034+00:00,150,Loan Officer-000001
13,3,AML check,2023-05-11 08:27:48.649886461+00:00,2023-05-11 08:30:49.236059781+00:00,151,AML Investigator-000001
17,2,Check credit history,2023-05-11 09:16:07.782536599+00:00,2023-05-11 09:17:08.549308565+00:00,153,Clerk-000003
16,6,Appraise property,2023-05-11 09:19:52.415848940+00:00,2023-05-11 09:26:17.801447212+00:00,154,Appraiser-000001
10,8,Assess loan risk,2023-05-11 07:18:31.105226991+00:00,2023-05-11 07:38:31.105226991+00:00,155,Loan Officer-000002
