case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-05-09 14:01:15.677584888+00:00,2023-05-09 14:01:15.677584888+00:00,0,Clerk-000001
0,5,Appraise property,2023-05-09 14:01:15.677584888+00:00,2023-05-09 14:10:12.821344280+00:00,1,Appraiser-000001
0,7,Check credit history,2023-05-09 14:10:12.821344280+00:00,2023-05-09 14:10:12.821344280+00:00,2,Clerk-000004
0,12,AML check,2023-05-09 14:10:12.821344280+00:00,2023-05-09 14:37:55.656523596+00:00,3,AML Investigator-000002
1,7,Check application form completeness,2023-05-09 14:31:15.677584888+00:00,2023-05-09 14:31:15.677584888+00:00,4,Clerk-000004
0,13,Assess loan risk,2023-05-09 14:37:55.656523596+00:00,2023-05-10 07:37:55.656523596+00:00,5,Loan Officer-000002
2,9,Check application form completeness,2023-05-10 07:30:00+00:00,2023-05-10 09:20:16.146449044+00:00,7,Clerk-000007
0,15,Design loan offer,2023-05-10 07:37:55.656523596+00:00,2023-05-10 08:24:38.552450218+00:00,8,Loan Officer-000004
1,0,Return application back to applicant,2023-05-09 14:37:55.656523596+00:00,2023-05-09 14:37:55.656523596+00:00,9,Clerk-000001
3,3,Check application form completeness,2023-05-10 08:00:00+00:00,2023-05-10 09:46:31.023928859+00:00,10,Clerk-000002
0,17,Approve loan offer,2023-05-10 08:24:38.552450218+00:00,2023-05-10 08:44:38.552450218+00:00,11,Senior Officer-000002
2,2,Appraise property,2023-05-10 09:20:16.146449044+00:00,2023-05-10 09:29:31.748203595+00:00,12,Appraiser-000002
1,18,Applicant completes form,2023-05-09 14:37:55.656523596+00:00,2023-05-10 07:10:05.573860851+00:00,13,Applicant-000001
4,4,Check application form completeness,2023-05-10 08:30:00+00:00,2023-05-10 09:48:12.116197522+00:00,14,Clerk-000005
0,7,Approve application,2023-05-10 08:44:38.552450218+00:00,2023-05-10 08:44:38.552450218+00:00,15,Clerk-000004
2,8,AML check,2023-05-10 09:29:31.748203595+00:00,2023-05-10 09:38:08.193933036+00:00,16,AML Investigator-000001
3,3,Check credit history,2023-05-10 09:46:31.023928859+00:00,2023-05-10 13:22:32.546875069+00:00,17,Clerk-000002
1,1,Check application form completeness,2023-05-10 07:10:05.573860851+00:00,2023-05-10 07:10:05.573860851+00:00,18,Clerk-000003
2,10,Check credit history,2023-05-10 09:38:08.193933036+00:00,2023-05-10 09:38:08.193933036+00:00,19,Clerk-000008
4,1,Check credit history,2023-05-10 09:48:12.116197522+00:00,2023-05-10 09:48:12.116197522+00:00,20,Clerk-000003
3,8,AML check,2023-05-10 13:22:32.546875069+00:00,2023-05-10 13:22:41.526742360+00:00,21,AML Investigator-000001
1,1,Check credit history,2023-05-10 07:10:05.573860851+00:00,2023-05-10 07:10:05.573860851+00:00,22,Clerk-000003
5,0,Check application form completeness,2023-05-10 09:00:00+00:00,2023-05-10 09:00:00+00:00,23,Clerk-000001
6,10,Check application form completeness,2023-05-10 09:30:00+00:00,2023-05-10 09:30:00+00:00,24,Clerk-000008
2,11,Assess loan risk,2023-05-10 09:38:08.193933036+00:00,2023-05-10 10:38:08.193933036+00:00,25,Loan Officer-000001
4,8,AML check,2023-05-10 09:48:12.116197522+00:00,2023-05-10 10:25:09.519372060+00:00,26,AML Investigator-000001
3,5,Appraise property,2023-05-10 13:22:41.526742360+00:00,2023-05-10 13:51:36.123272628+00:00,27,Appraiser-000001
1,2,Appraise property,2023-05-10 07:10:05.573860851+00:00,2023-05-10 08:11:15.574507770+00:00,28,Appraiser-000002
5,12,AML check,2023-05-10 09:00:00+00:00,2023-05-10 09:13:11.904778777+00:00,29,AML Investigator-000002
6,1,Return application back to applicant,2023-05-10 09:30:00+00:00,2023-05-10 09:30:00+00:00,30,Clerk-000003
7,7,Check application form completeness,2023-05-10 10:00:00+00:00,2023-05-10 10:00:00+00:00,31,Clerk-000004
4,5,Appraise property,2023-05-10 10:25:09.519372060+00:00,2023-05-10 11:32:23.781596006+00:00,32,Appraiser-000001
2,13,Design loan offer,2023-05-10 10:38:08.193933036+00:00,2023-05-10 10:58:14.509488699+00:00,33,Loan Officer-000002
3,14,Assess loan risk,2023-05-10 13:51:36.123272628+00:00,2023-05-10 14:51:36.123272628+00:00,34,Loan Officer-000003
1,8,AML check,2023-05-10 08:11:15.574507770+00:00,2023-05-10 08:21:26.075502237+00:00,35,AML Investigator-000001
5,0,Check credit history,2023-05-10 09:13:11.904778777+00:00,2023-05-10 09:13:11.904778777+00:00,36,Clerk-000001
6,18,Applicant completes form,2023-05-10 09:30:00+00:00,2023-05-10 09:56:12.346931394+00:00,37,Applicant-000001
8,7,Check application form completeness,2023-05-10 10:30:00+00:00,2023-05-10 10:30:00+00:00,39,Clerk-000004
2,17,Approve loan offer,2023-05-10 10:58:14.509488699+00:00,2023-05-10 11:18:14.509488699+00:00,40,Senior Officer-000002
4,14,Assess loan risk,2023-05-10 11:32:23.781596006+00:00,2023-05-10 12:32:23.781596006+00:00,41,Loan Officer-000003
3,13,Design loan offer,2023-05-10 14:51:36.123272628+00:00,2023-05-10 15:25:16.410628142+00:00,42,Loan Officer-000002
1,11,Assess loan risk,2023-05-10 08:21:26.075502237+00:00,2023-05-10 09:21:26.075502237+00:00,43,Loan Officer-000001
6,1,Check application form completeness,2023-05-10 09:56:12.346931394+00:00,2023-05-10 09:56:12.346931394+00:00,45,Clerk-000003
8,12,AML check,2023-05-10 10:30:00+00:00,2023-05-10 11:40:06.934879941+00:00,46,AML Investigator-000002
9,6,Check application form completeness,2023-05-10 11:00:00+00:00,2023-05-10 11:00:00+00:00,47,Clerk-000006
2,7,Cancel application,2023-05-10 11:18:14.509488699+00:00,2023-05-10 11:18:14.509488699+00:00,48,Clerk-000004
7,1,Check credit history,2023-05-10 11:32:23.781596006+00:00,2023-05-10 11:32:23.781596006+00:00,49,Clerk-000003
4,0,Reject application,2023-05-10 12:32:23.781596006+00:00,2023-05-10 12:32:23.781596006+00:00,50,Clerk-000001
3,17,Approve loan offer,2023-05-10 15:25:16.410628142+00:00,2023-05-11 07:20:00.000000142+00:00,51,Senior Officer-000002
1,13,Design loan offer,2023-05-10 09:21:26.075502237+00:00,2023-05-10 09:53:58.909446141+00:00,52,Loan Officer-000002
5,2,Appraise property,2023-05-10 09:29:31.748203595+00:00,2023-05-10 09:58:31.768052258+00:00,53,Appraiser-000002
6,12,AML check,2023-05-10 09:56:12.346931394+00:00,2023-05-10 10:20:52.178093306+00:00,54,AML Investigator-000002
9,7,Return application back to applicant,2023-05-10 11:00:00+00:00,2023-05-10 11:00:00+00:00,55,Clerk-000004
7,2,Appraise property,2023-05-10 11:32:23.781596006+00:00,2023-05-10 11:38:45.505313741+00:00,56,Appraiser-000002
8,0,Check credit history,2023-05-10 11:40:06.934879941+00:00,2023-05-10 11:40:06.934879941+00:00,57,Clerk-000001
1,17,Approve loan offer,2023-05-10 09:53:58.909446141+00:00,2023-05-10 10:13:58.909446141+00:00,58,Senior Officer-000002
5,15,Assess loan risk,2023-05-10 09:58:31.768052258+00:00,2023-05-10 10:58:31.768052258+00:00,59,Loan Officer-000004
6,0,Check credit history,2023-05-10 10:20:52.178093306+00:00,2023-05-10 10:20:52.178093306+00:00,60,Clerk-000001
9,18,Applicant completes form,2023-05-10 11:00:00+00:00,2023-05-11 07:35:02.116720749+00:00,61,Applicant-000001
10,10,Check application form completeness,2023-05-10 11:30:00+00:00,2023-05-10 11:30:00+00:00,62,Clerk-000008
7,8,AML check,2023-05-10 11:38:45.505313741+00:00,2023-05-10 11:39:12.155379836+00:00,63,AML Investigator-000001
8,2,Appraise property,2023-05-10 11:40:06.934879941+00:00,2023-05-10 11:59:51.827822373+00:00,64,Appraiser-000002
11,7,Check application form completeness,2023-05-10 12:00:00+00:00,2023-05-10 12:00:00+00:00,65,Clerk-000004
3,7,Cancel application,2023-05-11 07:20:00.000000142+00:00,2023-05-11 07:20:00.000000142+00:00,66,Clerk-000004
1,7,Cancel application,2023-05-10 10:13:58.909446141+00:00,2023-05-10 10:13:58.909446141+00:00,67,Clerk-000004
6,2,Appraise property,2023-05-10 10:20:52.178093306+00:00,2023-05-10 11:00:17.248413297+00:00,68,Appraiser-000002
5,7,Reject application,2023-05-10 10:58:31.768052258+00:00,2023-05-10 10:58:31.768052258+00:00,69,Clerk-000004
10,1,Return application back to applicant,2023-05-10 11:30:00+00:00,2023-05-10 11:30:00+00:00,70,Clerk-000003
7,11,Assess loan risk,2023-05-10 11:39:12.155379836+00:00,2023-05-10 12:39:12.155379836+00:00,71,Loan Officer-000001
8,15,Assess loan risk,2023-05-10 11:59:51.827822373+00:00,2023-05-10 12:59:51.827822373+00:00,72,Loan Officer-000004
11,5,Appraise property,2023-05-10 12:00:00+00:00,2023-05-10 12:30:23.749827457+00:00,73,Appraiser-000001
12,0,Check application form completeness,2023-05-10 12:30:00+00:00,2023-05-10 12:30:00+00:00,74,Clerk-000001
12,0,Check credit history,2023-05-10 12:30:00+00:00,2023-05-10 12:30:00+00:00,77,Clerk-000001
11,12,AML check,2023-05-10 12:30:23.749827457+00:00,2023-05-10 12:45:55.378373828+00:00,78,AML Investigator-000002
7,7,Reject application,2023-05-10 12:39:12.155379836+00:00,2023-05-10 12:39:12.155379836+00:00,79,Clerk-000004
8,7,Reject application,2023-05-10 12:59:51.827822373+00:00,2023-05-10 12:59:51.827822373+00:00,80,Clerk-000004
13,0,Check application form completeness,2023-05-10 13:00:00+00:00,2023-05-10 13:00:00+00:00,81,Clerk-000001
9,1,Check application form completeness,2023-05-11 07:35:02.116720749+00:00,2023-05-11 07:35:02.116720749+00:00,82,Clerk-000003
6,15,Assess loan risk,2023-05-10 12:59:51.827822373+00:00,2023-05-10 13:59:51.827822373+00:00,83,Loan Officer-000004
14,0,Check application form completeness,2023-05-10 13:30:00+00:00,2023-05-10 13:30:00+00:00,84,Clerk-000001
10,18,Applicant completes form,2023-05-11 07:35:02.116720749+00:00,2023-05-11 08:09:39.680080878+00:00,85,Applicant-000001
9,5,Appraise property,2023-05-11 07:35:02.116720749+00:00,2023-05-11 08:16:31.943014651+00:00,86,Appraiser-000001
12,2,Appraise property,2023-05-10 12:30:00+00:00,2023-05-10 12:37:42.503024454+00:00,87,Appraiser-000002
11,0,Check credit history,2023-05-10 12:45:55.378373828+00:00,2023-05-10 12:45:55.378373828+00:00,88,Clerk-000001
13,5,Appraise property,2023-05-10 13:00:00+00:00,2023-05-10 13:00:09.915558747+00:00,89,Appraiser-000001
14,0,Check credit history,2023-05-10 13:30:00+00:00,2023-05-10 13:30:00+00:00,90,Clerk-000001
6,7,Reject application,2023-05-10 13:59:51.827822373+00:00,2023-05-10 13:59:51.827822373+00:00,91,Clerk-000004
15,10,Check application form completeness,2023-05-10 14:00:00+00:00,2023-05-10 14:00:00+00:00,92,Clerk-000008
10,1,Check application form completeness,2023-05-11 08:09:39.680080878+00:00,2023-05-11 08:09:39.680080878+00:00,93,Clerk-000003
9,12,AML check,2023-05-11 08:16:31.943014651+00:00,2023-05-11 08:37:18.572099754+00:00,94,AML Investigator-000002
12,8,AML check,2023-05-10 12:37:42.503024454+00:00,2023-05-10 12:40:21.350336502+00:00,95,AML Investigator-000001
11,13,Assess loan risk,2023-05-10 12:45:55.378373828+00:00,2023-05-10 13:45:55.378373828+00:00,96,Loan Officer-000002
13,7,Check credit history,2023-05-10 13:00:09.915558747+00:00,2023-05-10 13:00:09.915558747+00:00,97,Clerk-000004
14,8,AML check,2023-05-10 13:30:00+00:00,2023-05-10 13:57:22.559964405+00:00,98,AML Investigator-000001
16,7,Check application form completeness,2023-05-10 14:30:00+00:00,2023-05-10 14:30:00+00:00,99,Clerk-000004
9,0,Check credit history,2023-05-11 08:37:18.572099754+00:00,2023-05-11 08:37:18.572099754+00:00,101,Clerk-000001
12,11,Assess loan risk,2023-05-10 12:40:21.350336502+00:00,2023-05-10 13:40:21.350336502+00:00,102,Loan Officer-000001
13,12,AML check,2023-05-10 13:00:09.915558747+00:00,2023-05-10 13:00:17.457289369+00:00,103,AML Investigator-000002
11,15,Design loan offer,2023-05-10 13:45:55.378373828+00:00,2023-05-10 14:12:03.478426171+00:00,104,Loan Officer-000004
14,5,Appraise property,2023-05-10 13:57:22.559964405+00:00,2023-05-10 14:17:41.641597340+00:00,105,Appraiser-000001
15,6,Check credit history,2023-05-10 14:00:00+00:00,2023-05-10 14:00:00+00:00,106,Clerk-000006
16,1,Check credit history,2023-05-10 14:30:00+00:00,2023-05-10 14:30:00+00:00,107,Clerk-000003
17,7,Check application form completeness,2023-05-10 15:00:00+00:00,2023-05-10 15:00:00+00:00,108,Clerk-000004
10,1,Check credit history,2023-05-11 08:16:31.943014651+00:00,2023-05-11 08:16:31.943014651+00:00,109,Clerk-000003
9,13,Assess loan risk,2023-05-11 08:37:18.572099754+00:00,2023-05-11 09:37:18.572099754+00:00,110,Loan Officer-000002
12,7,Reject application,2023-05-10 13:40:21.350336502+00:00,2023-05-10 13:40:21.350336502+00:00,112,Clerk-000004
15,8,AML check,2023-05-10 14:00:00+00:00,2023-05-10 14:20:44.034559013+00:00,113,AML Investigator-000001
11,17,Approve loan offer,2023-05-10 14:12:03.478426171+00:00,2023-05-10 14:32:03.478426171+00:00,114,Senior Officer-000002
16,8,AML check,2023-05-10 14:30:00+00:00,2023-05-11 07:04:56.239345285+00:00,116,AML Investigator-000001
17,1,Check credit history,2023-05-10 15:00:00+00:00,2023-05-10 15:00:00+00:00,117,Clerk-000003
18,6,Check application form completeness,2023-05-11 07:30:00+00:00,2023-05-11 07:30:00+00:00,118,Clerk-000006
10,8,AML check,2023-05-11 08:16:31.943014651+00:00,2023-05-11 08:20:10.527241536+00:00,119,AML Investigator-000001
9,10,Reject application,2023-05-11 09:37:18.572099754+00:00,2023-05-11 09:37:18.572099754+00:00,120,Clerk-000008
15,5,Appraise property,2023-05-10 14:20:44.034559013+00:00,2023-05-10 14:23:53.736235638+00:00,121,Appraiser-000001
11,7,Approve application,2023-05-10 14:32:03.478426171+00:00,2023-05-10 14:32:03.478426171+00:00,122,Clerk-000004
14,14,Assess loan risk,2023-05-10 14:51:36.123272628+00:00,2023-05-10 15:51:36.123272628+00:00,123,Loan Officer-000003
17,2,Appraise property,2023-05-10 15:00:00+00:00,2023-05-11 07:56:04.751870499+00:00,124,Appraiser-000002
16,5,Appraise property,2023-05-11 07:04:56.239345285+00:00,2023-05-11 07:06:35.201940866+00:00,125,Appraiser-000001
19,0,Check application form completeness,2023-05-11 08:00:00+00:00,2023-05-11 08:00:00+00:00,127,Clerk-000001
10,5,Appraise property,2023-05-11 08:20:10.527241536+00:00,2023-05-11 09:15:59.739902969+00:00,128,Appraiser-000001
13,13,Assess loan risk,2023-05-10 13:45:55.378373828+00:00,2023-05-10 14:45:55.378373828+00:00,129,Loan Officer-000002
16,14,Assess loan risk,2023-05-11 07:06:35.201940866+00:00,2023-05-11 08:06:35.201940866+00:00,131,Loan Officer-000003
17,8,AML check,2023-05-11 07:56:04.751870499+00:00,2023-05-11 08:00:11.772932118+00:00,132,AML Investigator-000001
18,7,Check credit history,2023-05-11 07:56:04.751870499+00:00,2023-05-11 07:56:04.751870499+00:00,133,Clerk-000004
20,6,Check application form completeness,2023-05-11 08:30:00+00:00,2023-05-11 08:30:00+00:00,135,Clerk-000006
10,14,Assess loan risk,2023-05-11 09:15:59.739902969+00:00,2023-05-11 10:15:59.739902969+00:00,136,Loan Officer-000003
13,10,Reject application,2023-05-10 14:45:55.378373828+00:00,2023-05-10 14:45:55.378373828+00:00,137,Clerk-000008
14,0,Reject application,2023-05-10 15:51:36.123272628+00:00,2023-05-10 15:51:36.123272628+00:00,139,Clerk-000001
18,12,AML check,2023-05-11 07:56:04.751870499+00:00,2023-05-11 08:12:06.001521639+00:00,140,AML Investigator-000002
17,11,Assess loan risk,2023-05-11 08:00:11.772932118+00:00,2023-05-11 09:00:11.772932118+00:00,141,Loan Officer-000001
16,13,Design loan offer,2023-05-11 08:06:35.201940866+00:00,2023-05-11 08:24:41.874979972+00:00,142,Loan Officer-000002
20,2,Appraise property,2023-05-11 08:30:00+00:00,2023-05-11 09:01:53.811204107+00:00,144,Appraiser-000002
21,1,Check application form completeness,2023-05-11 09:00:00+00:00,2023-05-11 09:00:00+00:00,145,Clerk-000003
10,0,Reject application,2023-05-11 10:15:59.739902969+00:00,2023-05-11 10:15:59.739902969+00:00,146,Clerk-000001
16,17,Approve loan offer,2023-05-11 08:24:41.874979972+00:00,2023-05-11 08:44:41.874979972+00:00,147,Senior Officer-000002
17,13,Design loan offer,2023-05-11 09:00:11.772932118+00:00,2023-05-11 09:21:53.116211107+00:00,149,Loan Officer-000002
20,1,Check credit history,2023-05-11 09:01:53.811204107+00:00,2023-05-11 09:01:53.811204107+00:00,150,Clerk-000003
19,5,Appraise property,2023-05-11 09:15:59.739902969+00:00,2023-05-11 10:13:39.963026704+00:00,151,Appraiser-000001
22,6,Check application form completeness,2023-05-11 09:30:00+00:00,2023-05-11 09:30:00+00:00,152,Clerk-000006
15,14,Assess loan risk,2023-05-10 15:51:36.123272628+00:00,2023-05-11 07:51:36.123272628+00:00,153,Loan Officer-000003
18,2,Appraise property,2023-05-11 08:12:06.001521639+00:00,2023-05-11 08:13:40.075400376+00:00,154,Appraiser-000002
16,7,Cancel application,2023-05-11 08:44:41.874979972+00:00,2023-05-11 08:44:41.874979972+00:00,155,Clerk-000004
20,8,AML check,2023-05-11 09:01:53.811204107+00:00,2023-05-11 09:48:30.310935076+00:00,156,AML Investigator-000001
17,17,Approve loan offer,2023-05-11 09:21:53.116211107+00:00,2023-05-11 09:41:53.116211107+00:00,158,Senior Officer-000002
22,2,Appraise property,2023-05-11 09:30:00+00:00,2023-05-11 09:55:07.450476302+00:00,159,Appraiser-000002
19,7,Check credit history,2023-05-11 10:13:39.963026704+00:00,2023-05-11 10:13:39.963026704+00:00,160,Clerk-000004
15,0,Reject application,2023-05-11 07:51:36.123272628+00:00,2023-05-11 07:51:36.123272628+00:00,161,Clerk-000001
18,15,Assess loan risk,2023-05-11 08:13:40.075400376+00:00,2023-05-11 09:13:40.075400376+00:00,162,Loan Officer-000004
20,11,Assess loan risk,2023-05-11 09:48:30.310935076+00:00,2023-05-11 10:48:30.310935076+00:00,163,Loan Officer-000001
22,1,Check credit history,2023-05-11 09:55:07.450476302+00:00,2023-05-11 09:55:07.450476302+00:00,164,Clerk-000003
23,10,Check application form completeness,2023-05-11 10:00:00+00:00,2023-05-11 10:00:00+00:00,165,Clerk-000008
21,1,Check credit history,2023-05-11 10:13:39.963026704+00:00,2023-05-11 10:13:39.963026704+00:00,166,Clerk-000003
19,12,AML check,2023-05-11 10:13:39.963026704+00:00,2023-05-11 10:33:27.679949729+00:00,167,AML Investigator-000002
17,7,Cancel application,2023-05-11 09:41:53.116211107+00:00,2023-05-11 09:41:53.116211107+00:00,168,Clerk-000004
22,8,AML check,2023-05-11 09:55:07.450476302+00:00,2023-05-11 12:10:56.875526843+00:00,169,AML Investigator-000001
23,6,Check credit history,2023-05-11 10:00:00+00:00,2023-05-11 10:00:00+00:00,170,Clerk-000006
21,2,Appraise property,2023-05-11 10:13:39.963026704+00:00,2023-05-11 10:39:43.960899388+00:00,171,Appraiser-000002
24,7,Check application form completeness,2023-05-11 10:30:00+00:00,2023-05-11 10:30:00+00:00,172,Clerk-000004
19,13,Assess loan risk,2023-05-11 10:33:27.679949729+00:00,2023-05-11 11:33:27.679949729+00:00,173,Loan Officer-000002
20,13,Design loan offer,2023-05-11 10:48:30.310935076+00:00,2023-05-11 11:27:11.631093556+00:00,174,Loan Officer-000002
18,7,Reject application,2023-05-11 09:13:40.075400376+00:00,2023-05-11 09:13:40.075400376+00:00,175,Clerk-000004
24,1,Check credit history,2023-05-11 10:30:00+00:00,2023-05-11 10:30:00+00:00,176,Clerk-000003
25,0,Check application form completeness,2023-05-11 11:00:00+00:00,2023-05-11 11:00:00+00:00,178,Clerk-000001
20,17,Approve loan offer,2023-05-11 11:27:11.631093556+00:00,2023-05-11 11:47:11.631093556+00:00,179,Senior Officer-000002
19,10,Reject application,2023-05-11 11:33:27.679949729+00:00,2023-05-11 11:33:27.679949729+00:00,180,Clerk-000008
22,11,Assess loan risk,2023-05-11 12:10:56.875526843+00:00,2023-05-11 13:10:56.875526843+00:00,181,Loan Officer-000001
25,6,Return application back to applicant,2023-05-11 11:00:00+00:00,2023-05-11 11:00:00+00:00,183,Clerk-000006
26,10,Check application form completeness,2023-05-11 11:30:00+00:00,2023-05-11 11:30:00+00:00,184,Clerk-000008
21,8,AML check,2023-05-11 12:10:56.875526843+00:00,2023-05-11 13:04:12.869033723+00:00,185,AML Investigator-000001
22,13,Design loan offer,2023-05-11 13:10:56.875526843+00:00,2023-05-11 13:29:13.703522182+00:00,186,Loan Officer-000002
25,18,Applicant completes form,2023-05-11 11:00:00+00:00,2023-05-12 07:53:22.198984089+00:00,188,Applicant-000001
26,12,AML check,2023-05-11 11:30:00+00:00,2023-05-11 12:38:46.389425013+00:00,189,AML Investigator-000002
20,7,Cancel application,2023-05-11 11:47:11.631093556+00:00,2023-05-11 11:47:11.631093556+00:00,190,Clerk-000004
27,1,Check application form completeness,2023-05-11 12:00:00+00:00,2023-05-11 12:00:00+00:00,191,Clerk-000003
24,2,Appraise property,2023-05-11 12:10:56.875526843+00:00,2023-05-11 12:38:00.072340495+00:00,192,Appraiser-000002
22,17,Approve loan offer,2023-05-11 13:29:13.703522182+00:00,2023-05-11 13:49:13.703522182+00:00,194,Senior Officer-000002
28,1,Check application form completeness,2023-05-11 12:30:00+00:00,2023-05-11 12:30:00+00:00,196,Clerk-000003
26,2,Appraise property,2023-05-11 12:38:46.389425013+00:00,2023-05-11 13:24:32.823834626+00:00,198,Appraiser-000002
21,11,Assess loan risk,2023-05-11 13:10:56.875526843+00:00,2023-05-11 14:10:56.875526843+00:00,199,Loan Officer-000001
22,7,Cancel application,2023-05-11 13:49:13.703522182+00:00,2023-05-11 13:49:13.703522182+00:00,200,Clerk-000004
25,1,Check application form completeness,2023-05-12 07:53:22.198984089+00:00,2023-05-12 07:53:22.198984089+00:00,201,Clerk-000003
27,1,Check credit history,2023-05-11 12:00:00+00:00,2023-05-11 12:00:00+00:00,202,Clerk-000003
28,5,Appraise property,2023-05-11 12:30:00+00:00,2023-05-11 12:49:13.947539960+00:00,203,Appraiser-000001
29,1,Check application form completeness,2023-05-11 13:00:00+00:00,2023-05-11 13:00:00+00:00,204,Clerk-000003
23,5,Appraise property,2023-05-11 13:04:12.869033723+00:00,2023-05-11 14:13:22.655720763+00:00,205,Appraiser-000001
24,8,AML check,2023-05-11 13:04:12.869033723+00:00,2023-05-11 14:00:41.808498797+00:00,206,AML Investigator-000001
26,1,Check credit history,2023-05-11 13:24:32.823834626+00:00,2023-05-11 13:24:32.823834626+00:00,207,Clerk-000003
25,1,Return application back to applicant,2023-05-12 07:53:22.198984089+00:00,2023-05-12 07:53:22.198984089+00:00,208,Clerk-000003
28,7,Check credit history,2023-05-11 12:49:13.947539960+00:00,2023-05-11 12:49:13.947539960+00:00,210,Clerk-000004
29,1,Check credit history,2023-05-11 13:00:00+00:00,2023-05-11 13:00:00+00:00,211,Clerk-000003
26,15,Assess loan risk,2023-05-11 13:24:32.823834626+00:00,2023-05-11 14:24:32.823834626+00:00,212,Loan Officer-000004
30,1,Check application form completeness,2023-05-11 13:30:00+00:00,2023-05-11 13:30:00+00:00,213,Clerk-000003
21,7,Reject application,2023-05-11 14:10:56.875526843+00:00,2023-05-11 14:10:56.875526843+00:00,215,Clerk-000004
23,12,AML check,2023-05-11 14:13:22.655720763+00:00,2023-05-11 14:27:04.252634930+00:00,216,AML Investigator-000002
25,18,Applicant completes form,2023-05-12 07:53:22.198984089+00:00,2023-05-12 08:52:10.953364663+00:00,217,Applicant-000001
28,12,AML check,2023-05-11 12:49:13.947539960+00:00,2023-05-11 12:55:12.211392840+00:00,219,AML Investigator-000002
30,1,Check credit history,2023-05-11 13:30:00+00:00,2023-05-11 13:30:00+00:00,221,Clerk-000003
31,7,Check application form completeness,2023-05-11 14:00:00+00:00,2023-05-11 14:00:00+00:00,222,Clerk-000004
24,11,Assess loan risk,2023-05-11 14:10:56.875526843+00:00,2023-05-11 15:10:56.875526843+00:00,223,Loan Officer-000001
23,13,Assess loan risk,2023-05-11 14:27:04.252634930+00:00,2023-05-12 08:00:00.000000930+00:00,224,Loan Officer-000002
25,1,Check application form completeness,2023-05-12 08:52:10.953364663+00:00,2023-05-12 08:52:10.953364663+00:00,225,Clerk-000003
31,1,Check credit history,2023-05-11 14:00:00+00:00,2023-05-11 14:00:00+00:00,230,Clerk-000003
26,7,Reject application,2023-05-11 14:24:32.823834626+00:00,2023-05-11 14:24:32.823834626+00:00,231,Clerk-000004
32,10,Check application form completeness,2023-05-11 14:30:00+00:00,2023-05-11 14:30:00+00:00,232,Clerk-000008
24,7,Reject application,2023-05-11 15:10:56.875526843+00:00,2023-05-11 15:10:56.875526843+00:00,233,Clerk-000004
23,15,Design loan offer,2023-05-12 08:00:00.000000930+00:00,2023-05-12 08:00:46.893671094+00:00,234,Loan Officer-000004
25,5,Appraise property,2023-05-12 08:52:10.953364663+00:00,2023-05-12 09:59:00.963798689+00:00,235,Appraiser-000001
29,2,Appraise property,2023-05-11 14:00:41.808498797+00:00,2023-05-11 14:23:29.272311822+00:00,239,Appraiser-000002
33,0,Check application form completeness,2023-05-11 15:00:00+00:00,2023-05-11 15:00:00+00:00,241,Clerk-000001
25,7,Check credit history,2023-05-12 09:59:00.963798689+00:00,2023-05-12 09:59:00.963798689+00:00,242,Clerk-000004
27,8,AML check,2023-05-11 14:00:41.808498797+00:00,2023-05-11 14:01:32.378513820+00:00,243,AML Investigator-000001
29,8,AML check,2023-05-11 14:23:29.272311822+00:00,2023-05-12 07:05:36.616840540+00:00,245,AML Investigator-000001
30,2,Appraise property,2023-05-11 14:23:29.272311822+00:00,2023-05-11 14:34:18.777796458+00:00,246,Appraiser-000002
32,6,Check credit history,2023-05-11 14:30:00+00:00,2023-05-11 14:30:00+00:00,247,Clerk-000006
33,0,Check credit history,2023-05-11 15:00:00+00:00,2023-05-11 15:00:00+00:00,248,Clerk-000001
34,10,Check application form completeness,2023-05-12 07:30:00+00:00,2023-05-12 07:30:00+00:00,249,Clerk-000008
28,13,Assess loan risk,2023-05-12 08:00:00.000000930+00:00,2023-05-12 09:00:00.000000930+00:00,250,Loan Officer-000002
23,17,Approve loan offer,2023-05-12 08:00:46.893671094+00:00,2023-05-12 08:20:46.893671094+00:00,251,Senior Officer-000002
25,12,AML check,2023-05-12 09:59:00.963798689+00:00,2023-05-12 11:22:47.346054752+00:00,252,AML Investigator-000002
33,2,Appraise property,2023-05-11 15:00:00+00:00,2023-05-12 08:18:00.709399925+00:00,257,Appraiser-000002
29,11,Assess loan risk,2023-05-12 07:05:36.616840540+00:00,2023-05-12 08:05:36.616840540+00:00,258,Loan Officer-000001
34,1,Return application back to applicant,2023-05-12 07:30:00+00:00,2023-05-12 07:30:00+00:00,259,Clerk-000003
35,7,Check application form completeness,2023-05-12 08:00:00+00:00,2023-05-12 08:00:00+00:00,260,Clerk-000004
23,7,Cancel application,2023-05-12 08:20:46.893671094+00:00,2023-05-12 08:20:46.893671094+00:00,261,Clerk-000004
