case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,7,Check application form completeness,2023-05-09 14:01:15.677584888+00:00,2023-05-09 14:01:15.677584888+00:00,0,Clerk-000004
0,5,Appraise property,2023-05-09 14:01:15.677584888+00:00,2023-05-09 14:36:22.365954225+00:00,1,Appraiser-000001
1,3,Check application form completeness,2023-05-09 14:31:15.677584888+00:00,2023-05-09 15:22:09.095420057+00:00,2,Clerk-000002
0,6,Check credit history,2023-05-09 14:36:22.365954225+00:00,2023-05-09 14:36:22.365954225+00:00,3,Clerk-000006
0,8,AML check,2023-05-09 14:36:22.365954225+00:00,2023-05-10 08:01:36.064247496+00:00,4,AML Investigator-000001
1,3,Return application back to applicant,2023-05-09 15:22:09.095420057+00:00,2023-05-09 15:52:09.095420057+00:00,5,Clerk-000002
1,18,Applicant completes form,2023-05-09 15:52:09.095420057+00:00,2023-05-10 07:49:27.016082856+00:00,6,Applicant-000001
0,15,Assess loan risk,2023-05-10 08:01:36.064247496+00:00,2023-05-10 09:01:36.064247496+00:00,7,Loan Officer-000004
2,6,Check application form completeness,2023-05-10 07:30:00+00:00,2023-05-10 07:30:00+00:00,8,Clerk-000006
1,0,Check application form completeness,2023-05-10 07:49:27.016082856+00:00,2023-05-10 07:49:27.016082856+00:00,9,Clerk-000001
0,13,Design loan offer,2023-05-10 09:01:36.064247496+00:00,2023-05-10 09:41:53.690091837+00:00,10,Loan Officer-000002
3,1,Check application form completeness,2023-05-10 08:00:00+00:00,2023-05-10 08:00:00+00:00,13,Clerk-000003
0,17,Approve loan offer,2023-05-10 09:41:53.690091837+00:00,2023-05-10 10:01:53.690091837+00:00,14,Senior Officer-000002
2,0,Check credit history,2023-05-10 08:00:00+00:00,2023-05-10 08:00:00+00:00,15,Clerk-000001
1,5,Appraise property,2023-05-10 08:00:00+00:00,2023-05-10 08:12:22.955807974+00:00,16,Appraiser-000001
3,7,Check credit history,2023-05-10 08:00:00+00:00,2023-05-10 08:00:00+00:00,17,Clerk-000004
4,0,Check application form completeness,2023-05-10 08:30:00+00:00,2023-05-10 08:30:00+00:00,18,Clerk-000001
0,10,Cancel application,2023-05-10 10:01:53.690091837+00:00,2023-05-10 10:01:53.690091837+00:00,19,Clerk-000008
3,12,AML check,2023-05-10 08:00:00+00:00,2023-05-10 08:19:47.753550019+00:00,21,AML Investigator-000002
1,8,AML check,2023-05-10 08:12:22.955807974+00:00,2023-05-10 09:43:04.394653998+00:00,22,AML Investigator-000001
4,12,AML check,2023-05-10 08:30:00+00:00,2023-05-10 09:37:23.039521808+00:00,23,AML Investigator-000002
5,7,Check application form completeness,2023-05-10 09:00:00+00:00,2023-05-10 09:00:00+00:00,24,Clerk-000004
2,2,Appraise property,2023-05-10 08:01:36.064247496+00:00,2023-05-10 08:07:47.922905668+00:00,25,Appraiser-000002
3,2,Appraise property,2023-05-10 08:19:47.753550019+00:00,2023-05-10 09:46:59.747583895+00:00,26,Appraiser-000002
5,7,Check credit history,2023-05-10 09:00:00+00:00,2023-05-10 09:00:00+00:00,27,Clerk-000004
4,1,Check credit history,2023-05-10 09:37:23.039521808+00:00,2023-05-10 09:37:23.039521808+00:00,28,Clerk-000003
1,6,Check credit history,2023-05-10 09:43:04.394653998+00:00,2023-05-10 09:43:04.394653998+00:00,29,Clerk-000006
6,6,Check application form completeness,2023-05-10 09:30:00+00:00,2023-05-10 09:30:00+00:00,32,Clerk-000006
4,5,Appraise property,2023-05-10 09:37:23.039521808+00:00,2023-05-10 09:58:42.827028822+00:00,33,Appraiser-000001
1,14,Assess loan risk,2023-05-10 09:43:04.394653998+00:00,2023-05-10 10:43:04.394653998+00:00,34,Loan Officer-000003
3,11,Assess loan risk,2023-05-10 09:46:59.747583895+00:00,2023-05-10 10:46:59.747583895+00:00,35,Loan Officer-000001
5,12,AML check,2023-05-10 09:46:59.747583895+00:00,2023-05-10 10:57:34.147158198+00:00,38,AML Investigator-000002
7,1,Check application form completeness,2023-05-10 10:00:00+00:00,2023-05-10 10:00:00+00:00,40,Clerk-000003
1,13,Design loan offer,2023-05-10 10:43:04.394653998+00:00,2023-05-10 11:19:35.002066843+00:00,41,Loan Officer-000002
3,13,Design loan offer,2023-05-10 10:46:59.747583895+00:00,2023-05-10 11:13:31.930465198+00:00,42,Loan Officer-000002
6,0,Check credit history,2023-05-10 09:43:04.394653998+00:00,2023-05-10 09:43:04.394653998+00:00,44,Clerk-000001
7,7,Check credit history,2023-05-10 10:00:00+00:00,2023-05-10 10:00:00+00:00,45,Clerk-000004
8,6,Check application form completeness,2023-05-10 10:30:00+00:00,2023-05-10 10:30:00+00:00,46,Clerk-000006
4,14,Assess loan risk,2023-05-10 10:43:04.394653998+00:00,2023-05-10 11:43:04.394653998+00:00,47,Loan Officer-000003
5,2,Appraise property,2023-05-10 10:57:34.147158198+00:00,2023-05-10 11:11:23.711950602+00:00,48,Appraiser-000002
3,17,Approve loan offer,2023-05-10 11:13:31.930465198+00:00,2023-05-10 11:33:31.930465198+00:00,49,Senior Officer-000002
7,2,Appraise property,2023-05-10 10:00:00+00:00,2023-05-10 10:09:03.280461747+00:00,52,Appraiser-000002
8,0,Check credit history,2023-05-10 10:30:00+00:00,2023-05-10 10:30:00+00:00,53,Clerk-000001
2,12,AML check,2023-05-10 10:57:34.147158198+00:00,2023-05-10 11:50:54.871291316+00:00,54,AML Investigator-000002
9,0,Check application form completeness,2023-05-10 11:00:00+00:00,2023-05-10 11:00:00+00:00,55,Clerk-000001
5,11,Assess loan risk,2023-05-10 11:11:23.711950602+00:00,2023-05-10 12:11:23.711950602+00:00,56,Loan Officer-000001
3,3,Approve application,2023-05-10 11:33:31.930465198+00:00,2023-05-10 12:03:31.930465198+00:00,57,Clerk-000002
1,17,Approve loan offer,2023-05-10 11:33:31.930465198+00:00,2023-05-10 11:53:31.930465198+00:00,58,Senior Officer-000002
4,13,Design loan offer,2023-05-10 11:43:04.394653998+00:00,2023-05-10 12:25:07.311361089+00:00,59,Loan Officer-000002
8,2,Appraise property,2023-05-10 10:30:00+00:00,2023-05-10 10:53:39.869324631+00:00,62,Appraiser-000002
10,7,Check application form completeness,2023-05-10 11:30:00+00:00,2023-05-10 11:30:00+00:00,64,Clerk-000004
1,3,Approve application,2023-05-10 11:53:31.930465198+00:00,2023-05-10 12:23:31.930465198+00:00,66,Clerk-000002
4,17,Approve loan offer,2023-05-10 12:25:07.311361089+00:00,2023-05-10 12:45:07.311361089+00:00,67,Senior Officer-000002
6,8,AML check,2023-05-10 10:09:03.280461747+00:00,2023-05-10 10:10:56.107183865+00:00,68,AML Investigator-000001
10,7,Check credit history,2023-05-10 11:30:00+00:00,2023-05-10 11:30:00+00:00,71,Clerk-000004
9,0,Return application back to applicant,2023-05-10 11:50:54.871291316+00:00,2023-05-10 11:50:54.871291316+00:00,72,Clerk-000001
11,9,Check application form completeness,2023-05-10 12:00:00+00:00,2023-05-10 14:13:28.063207512+00:00,73,Clerk-000007
5,9,Reject application,2023-05-10 12:11:23.711950602+00:00,2023-05-10 13:11:23.711950602+00:00,74,Clerk-000007
4,3,Approve application,2023-05-10 12:45:07.311361089+00:00,2023-05-10 13:15:07.311361089+00:00,75,Clerk-000002
7,12,AML check,2023-05-10 11:50:54.871291316+00:00,2023-05-10 12:17:37.323994463+00:00,79,AML Investigator-000002
9,18,Applicant completes form,2023-05-10 11:50:54.871291316+00:00,2023-05-11 07:27:37.531886118+00:00,80,Applicant-000001
