case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-02-09 08:00:00+00:00,2023-02-09 10:13:17.009145850+00:00,0,Clerk-000001
1,1,Check application form completeness,2023-02-09 08:30:00+00:00,2023-02-09 11:58:30.088235169+00:00,1,Clerk-000003
0,3,Appraise property,2023-02-09 10:13:17.009145850+00:00,2023-02-09 10:44:01.861142861+00:00,2,Appraiser-000002
2,2,Check application form completeness,2023-02-09 09:00:00+00:00,2023-02-09 10:59:06.972830228+00:00,3,Clerk-000002
0,4,Check credit history,2023-02-09 10:44:01.861142861+00:00,2023-02-09 12:11:40.465071041+00:00,4,Clerk-000005
1,8,Appraise property,2023-02-09 11:58:30.088235169+00:00,2023-02-09 12:05:49.829028681+00:00,5,Appraiser-000001
3,5,Check application form completeness,2023-02-09 09:30:00+00:00,2023-02-09 11:48:01.397820612+00:00,6,Clerk-000006
2,3,Appraise property,2023-02-09 10:59:06.972830228+00:00,2023-02-09 10:59:52.489838329+00:00,7,Appraiser-000002
1,6,Check credit history,2023-02-09 12:05:49.829028681+00:00,2023-02-09 13:48:55.713723201+00:00,8,Clerk-000004
0,7,AML check,2023-02-09 12:11:40.465071041+00:00,2023-02-09 12:57:31.405656251+00:00,9,AML Investigator-000001
4,9,Check application form completeness,2023-02-09 10:00:00+00:00,2023-02-09 12:02:08.977561675+00:00,10,Clerk-000007
2,10,Check credit history,2023-02-09 10:59:52.489838329+00:00,2023-02-09 14:56:45.971024194+00:00,11,Clerk-000008
3,3,Appraise property,2023-02-09 11:48:01.397820612+00:00,2023-02-09 12:18:27.883440041+00:00,12,Appraiser-000002
0,11,Assess loan risk,2023-02-09 12:57:31.405656251+00:00,2023-02-09 13:57:31.405656251+00:00,13,Loan Officer-000001
1,13,AML check,2023-02-09 13:48:55.713723201+00:00,2023-02-09 14:31:02.531432350+00:00,14,AML Investigator-000002
5,0,Check application form completeness,2023-02-09 10:30:00+00:00,2023-02-09 12:23:55.316757839+00:00,15,Clerk-000001
4,2,Check credit history,2023-02-09 12:02:08.977561675+00:00,2023-02-09 15:39:16.361958102+00:00,16,Clerk-000002
3,13,AML check,2023-02-09 12:18:27.883440041+00:00,2023-02-09 12:37:08.787381843+00:00,17,AML Investigator-000002
0,5,Reject application,2023-02-09 13:57:31.405656251+00:00,2023-02-09 14:57:31.405656251+00:00,18,Clerk-000006
1,12,Assess loan risk,2023-02-09 14:31:02.531432350+00:00,2023-02-10 07:31:02.531432350+00:00,19,Loan Officer-000002
2,13,AML check,2023-02-09 14:56:45.971024194+00:00,2023-02-10 07:03:09.614143823+00:00,20,AML Investigator-000002
6,1,Check application form completeness,2023-02-09 11:00:00+00:00,2023-02-09 15:46:46.314953071+00:00,21,Clerk-000003
5,8,Appraise property,2023-02-09 12:23:55.316757839+00:00,2023-02-09 12:29:51.310994945+00:00,22,Appraiser-000001
3,9,Check credit history,2023-02-09 12:37:08.787381843+00:00,2023-02-09 15:04:49.825193327+00:00,23,Clerk-000007
2,15,Assess loan risk,2023-02-10 07:03:09.614143823+00:00,2023-02-10 08:03:09.614143823+00:00,24,Loan Officer-000003
1,16,Design loan offer,2023-02-10 07:31:02.531432350+00:00,2023-02-10 07:38:37.711882113+00:00,25,Loan Officer-000004
7,4,Check application form completeness,2023-02-09 11:30:00+00:00,2023-02-09 13:24:07.432999264+00:00,26,Clerk-000005
5,0,Check credit history,2023-02-09 12:29:51.310994945+00:00,2023-02-09 16:29:27.725274230+00:00,27,Clerk-000001
3,11,Assess loan risk,2023-02-09 15:04:49.825193327+00:00,2023-02-10 08:00:00.000000327+00:00,28,Loan Officer-000001
4,7,AML check,2023-02-09 15:39:16.361958102+00:00,2023-02-10 07:04:12.286406462+00:00,29,AML Investigator-000001
1,14,Approve loan offer,2023-02-10 07:38:37.711882113+00:00,2023-02-10 07:58:37.711882113+00:00,31,Senior Officer-000001
2,12,Design loan offer,2023-02-10 08:03:09.614143823+00:00,2023-02-10 08:26:43.090717561+00:00,32,Loan Officer-000002
8,4,Check application form completeness,2023-02-09 12:00:00+00:00,2023-02-09 14:45:51.139938239+00:00,33,Clerk-000005
7,7,AML check,2023-02-09 13:24:07.432999264+00:00,2023-02-09 14:16:31.543617378+00:00,34,AML Investigator-000001
4,3,Appraise property,2023-02-10 07:04:12.286406462+00:00,2023-02-10 09:09:54.665095873+00:00,36,Appraiser-000002
