,Unnamed: 0,activity_name,lifecycle:transition,org:resource,end_timestamp,Activity,resource,case_id,case:variant,case:variant-index,case:creator,start_timestamp,agent
0,0,Create Purchase Requisition,complete,Kim Passa,2011-01-01 05:37:00+00:00,Create Purchase Requisition,Kim Passa,1,Variant 2,2,Fluxicon Disco,2011-01-01 05:00:00+00:00,0
1,1,Create Request for Quotation,complete,Kim Passa,2011-01-01 10:45:00+00:00,Create Request for Quotation,Kim Passa,1,Variant 2,2,Fluxicon Disco,2011-01-01 10:37:00+00:00,0
2,2,Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 11:55:00+00:00,Analyze Request for Quotation,Karel de Groot,1,Variant 2,2,Fluxicon Disco,2011-01-01 11:41:00+00:00,2
3,3,Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-01 17:09:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,1,Variant 2,2,Fluxicon Disco,2011-01-01 16:43:00+00:00,2
4,4,Create Quotation comparison Map,complete,Magdalena Predutta,2011-01-01 21:03:00+00:00,Create Quotation comparison Map,Magdalena Predutta,1,Variant 2,2,Fluxicon Disco,2011-01-01 17:32:00+00:00,7
5,5,Analyze Quotation Comparison Map,complete,Immanuel Karagianni,2011-01-02 04:13:00+00:00,Analyze Quotation Comparison Map,Immanuel Karagianni,1,Variant 2,2,Fluxicon Disco,2011-01-02 03:44:00+00:00,1
6,6,Choose best option,complete,Tesca Lobes,2011-01-02 04:13:00+00:00,Choose best option,Tesca Lobes,1,Variant 2,2,Fluxicon Disco,2011-01-02 04:13:00+00:00,9
7,7,Settle Conditions With Supplier,complete,Francois de Perrier,2011-01-02 14:20:00+00:00,Settle Conditions With Supplier,Francois de Perrier,1,Variant 2,2,Fluxicon Disco,2011-01-02 06:22:00+00:00,8
8,8,Create Purchase Order,complete,Karel de Groot,2011-01-02 15:10:00+00:00,Create Purchase Order,Karel de Groot,1,Variant 2,2,Fluxicon Disco,2011-01-02 14:58:00+00:00,2
9,9,Confirm Purchase Order,complete,Sean Manney,2011-01-02 19:43:00+00:00,Confirm Purchase Order,Sean Manney,1,Variant 2,2,Fluxicon Disco,2011-01-02 19:09:00+00:00,18
10,10,Deliver Goods Services,complete,Sean Manney,2011-01-03 08:37:00+00:00,Deliver Goods Services,Sean Manney,1,Variant 2,2,Fluxicon Disco,2011-01-03 01:49:00+00:00,18
11,11,Release Purchase Order,complete,Elvira Lores,2011-01-03 16:21:00+00:00,Release Purchase Order,Elvira Lores,1,Variant 2,2,Fluxicon Disco,2011-01-03 16:20:00+00:00,19
12,12,Approve Purchase Order for payment,complete,Karel de Groot,2011-01-04 00:10:00+00:00,Approve Purchase Order for payment,Karel de Groot,1,Variant 2,2,Fluxicon Disco,2011-01-04 00:09:00+00:00,2
13,13,Send Invoice,complete,Kiu Kan,2011-01-04 05:54:00+00:00,Send Invoice,Kiu Kan,1,Variant 2,2,Fluxicon Disco,2011-01-04 05:54:00+00:00,24
14,14,Release Supplier's Invoice,complete,Karalda Nimwada,2011-01-04 20:13:00+00:00,Release Supplier's Invoice,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco,2011-01-04 20:08:00+00:00,25
